Creator Name,Total Content,Video Content,PDF / eBook Content,Audio Content,WebContent / Links,Other Content,Downloaded Media Files,Downloaded Images,Downloaded PDFs,Downloaded Audio/Video,Upload Date Range
"Pædagogisk_Psykologisk_Tidsskrift","236","0","236","0","0","0","949","476","472","0","2020-06-05 to 2024-01-30"
"Comedy-TV","137","0","0","0","137","0","287","286","0","0","2021-03-10 to 2025-09-29"
"FBI.DK","98","98","0","0","0","0","239","238","0","0","2021-04-02 to 2025-12-29"
"Funktionel_Neuro_Terapeut","50","34","16","0","0","0","138","106","32","0","2024-10-29 to 2025-03-17"
"Fysioteamet","44","44","0","0","0","0","31","30","0","0","2021-01-14 to 2024-10-29"
"Funktionel_Neuro_Terapeut_(1)","42","23","19","0","0","0","188","114","74","0","2025-09-11 to 2026-04-16"
"Kammas_Kantine","33","24","9","0","0","0","110","98","12","0","2021-04-14 to 2022-04-12"
"TANIA_ELLIS_-_The_Social_Business_Company","32","26","6","0","0","0","58","48","8","0","2019-10-25 to 2022-03-08"
"Thomas_Hartmann","30","24","0","0","6","0","38","36","0","0","2021-03-31 to 2024-01-23"
"Hundedamen","27","20","1","0","6","0","57","54","2","0","2020-10-23 to 2025-01-24"
"Songs_Of_Jacob_Elk","22","10","0","12","0","0","140","96","0","44","2020-05-13 to 2022-03-08"
"Red_Barnet","20","20","0","0","0","0","22","20","0","0","2021-06-07 to 2022-03-08"
"Cathrine_Guldberg","19","0","0","0","19","0","37","36","0","0","2020-02-23 to 2024-04-09"
"Torben_Chris","18","9","0","0","9","0","33","32","0","0","2021-04-10 to 2024-01-15"
"Amin_Jensen_Entertainment","16","14","0","0","2","0","28","26","0","0","2019-07-23 to 2024-12-16"
"Adal_Faragalla","15","0","1","0","14","0","66","62","4","0","2023-01-09 to 2023-01-15"
"Fonden_Eventyrteatret","14","14","0","0","0","0","33","32","0","0","2024-04-04 to 2026-03-30"
"Microphone_Entertainment","14","14","0","0","0","0","28","26","0","0","2019-07-23 to 2024-01-29"
"Mit_test_site","12","7","1","0","4","0","37","32","4","0","2020-01-16 to 2026-06-09"
"Omar_Marzouk","12","8","0","0","4","0","22","20","0","0","2021-06-06 to 2022-03-08"
"Uffe_Holm","12","12","0","0","0","0","27","24","0","0","2019-07-22 to 2024-01-13"
"Damkjær_Medier","11","10","1","0","0","0","31","28","2","0","2024-02-13 to 2024-04-30"
"Funktionel_Neuroterapeut_2026","11","5","6","0","0","0","51","32","19","0","2026-08-16 to 2026-08-28"
"Carsten_Bang","10","10","0","0","0","0","18","16","0","0","2021-04-05 to 2024-01-13"
"Find_dig_ikke_i_smerte","10","8","1","0","1","0","21","18","2","0","2020-06-05 to 2022-03-08"
"Stopsygefravær.nu","10","6","3","0","1","0","29","22","6","0","2020-05-13 to 2020-05-14"
"Chief1","9","9","0","0","0","0","23","22","0","0","2020-12-16 to 2022-03-08"
"Elias_Ehlers","9","9","0","0","0","0","15","14","0","0","2021-04-12 to 2025-06-17"
"Elsebeth_Fogh","9","0","9","0","0","0","63","36","26","0","2020-02-20 to 2020-02-24"
"Jacob_Tingleff","9","6","0","0","3","0","21","20","0","0","2021-04-10 to 2024-01-15"
"Morten_Bonde_Development","9","1","0","0","8","0","23","22","0","0","2020-05-13 to 2022-08-28"
"SigneNeslein.dk","8","3","5","0","0","0","31","24","6","0","2023-01-11 to 2026-02-17"
"A5_Forlag_ApS","6","0","3","0","3","0","27","24","2","0","2022-10-03 to 2022-11-09"
"Anders_Fjelsted","4","4","0","0","0","0","14","12","0","0","2021-04-09 to 2024-01-15"
"Art_attraction","4","0","0","2","2","0","5","4","0","0","2019-08-17 to 2019-08-17"
"Dan_Andersen","4","4","0","0","0","0","14","12","0","0","2021-04-07 to 2024-01-15"
"ElStudio","4","0","0","0","4","0","8","6","0","0","2020-05-29 to 2020-05-29"
"Forlaget_AKKA","4","1","3","0","0","0","23","20","2","0","2024-04-22 to 2024-04-28"
"Jacob_Taarnhøj","4","4","0","0","0","0","18","16","0","0","2022-12-09 to 2024-01-13"
"Lindhardt_A-S","4","4","0","0","0","0","4","2","0","0","2020-02-07 to 2022-03-08"
"Thomas_Wivel","4","4","0","0","0","0","14","12","0","0","2021-04-11 to 2024-01-15"
"Tobias_Dybvad","4","4","0","0","0","0","14","12","0","0","2021-04-07 to 2024-01-13"
"Brian_Mørk","3","3","0","0","0","0","13","12","0","0","2021-04-10 to 2024-01-15"
"Langes_Entertainment_ApS","3","3","0","0","0","0","19","18","0","0","2021-02-01 to 2025-09-09"
"Sundt_indtag","3","0","3","0","0","0","12","8","2","0","2021-02-19 to 2021-02-19"
"Vital_New_Software_ApS","3","3","0","0","0","0","5","4","0","0","2022-06-10 to 2024-12-13"
"slank_og_wellness","3","0","3","0","0","0","14","10","2","0","2019-09-30 to 2020-03-19"
"Akupunktør_Stine_Vogel","2","0","2","0","0","0","24","16","8","0","2026-07-17 to 2026-07-17"
"B_Entertained","2","2","0","0","0","0","16","16","0","0","2022-08-23 to 2024-09-02"
"FliCFLAC","2","2","0","0","0","0","12","12","0","0","2019-07-12 to 2022-03-08"
"Granli_Velvære","2","2","0","0","0","0","14","13","0","0","2020-08-20 to 2022-03-08"
"Jacob_Wilson","2","2","0","0","0","0","12","10","0","0","2021-05-25 to 2022-03-08"
"Janni_-_Køreskole_og_Terapi","2","0","0","2","0","0","8","4","0","4","2026-05-09 to 2026-05-09"
"Karina_Eckhausen","2","1","1","0","0","0","9","8","0","0","2024-03-20 to 2024-05-30"
"Kitnoergaard.dk","2","0","2","0","0","0","21","16","4","0","2024-03-07 to 2025-02-26"
"Lev_Dit_Liv_NU","2","2","0","0","0","0","13","12","0","0","2024-05-29 to 2024-07-01"
"Line_JL_Feel_the_Heal","2","1","1","0","0","0","11","6","2","2","2023-10-17 to 2023-11-14"
"M.C._Caffe","2","2","0","0","0","0","11","10","0","0","2021-10-19 to 2022-03-08"
"Nethe_Nomonde_Dalgaard","2","0","2","0","0","0","18","10","8","0","2026-01-12 to 2026-08-22"
"Peter_Peitersen","2","0","2","0","0","0","12","4","8","0","2026-06-16 to 2026-08-06"
"RauJensen","2","1","1","0","0","0","19","16","2","0","2024-08-18 to 2024-09-12"
"Selvvær(dk)stedet","2","2","0","0","0","0","9","8","0","0","2020-06-23 to 2022-03-08"
"Simon_Talbot","2","2","0","0","0","0","12","10","0","0","2023-01-30 to 2024-01-30"
"SkoleRo_ApS","2","0","2","0","0","0","12","12","0","0","2025-07-21 to 2025-09-05"
"You_Consulting","2","1","1","0","0","0","17","14","2","0","2023-02-13 to 2023-05-26"
"@lawn.dk","1","0","0","0","1","0","11","10","0","0","2023-04-07 to 2023-04-07"
"Anne_Kongsbak","1","0","1","0","0","0","8","4","4","0","2020-10-19 to 2020-10-19"
"Anne_brietzke","1","0","1","0","0","0","13","10","2","0","2025-09-23 to 2025-09-23"
"Britta_Koch_-_Qigong","1","1","0","0","0","0","7","6","0","0","2020-09-01 to 2022-03-08"
"Dahls_regnskabsservice_ApS","1","0","1","0","0","0","16","12","4","0","2026-01-12 to 2026-02-10"
"Diana_Myjak","1","0","1","0","0","0","12","8","4","0","2026-02-21 to 2026-02-21"
"EvaFogNoer","1","0","1","0","0","0","13","10","2","0","2022-03-17 to 2022-03-17"
"Familier_fødes_-_familiens_psykolog_gennem_hele_rejsen","1","0","0","1","0","0","9","8","0","0","2023-10-17 to 2023-10-17"
"Ilona_Margibell","1","0","1","0","0","0","13","10","2","0","2020-12-22 to 2020-12-22"
"Jesper_Jensen","1","0","1","0","0","0","10","6","4","0","2026-06-29 to 2026-06-29"
"Johnny_Logan","1","1","0","0","0","0","11","10","0","0","2021-04-08 to 2021-04-13"
"Kristian_Kjaer","1","0","1","0","0","0","4","0","4","0","2026-07-13 to 2026-07-13"
"Kryptovaluta_for_kvinder","1","0","1","0","0","0","13","10","2","0","2021-11-02 to 2021-11-02"
"Laura_Nielsen","1","0","1","0","0","0","8","4","4","0","2026-01-31 to 2026-03-08"
"Life-_&_Business_Coach","1","0","1","0","0","0","16","12","4","0","2020-07-24 to 2020-09-18"
"Lisathe_Møller","1","0","1","0","0","0","8","0","8","0","2026-08-16 to 2026-08-16"
"Mirna_Barbar","1","0","1","0","0","0","5","4","0","0","2026-03-14 to 2026-05-05"
"NSCCM_ApS","1","0","1","0","0","0","4","2","2","0","2022-09-16 to 2022-09-16"
"Olivia_Hvoslef_Mejer_Madsen","1","0","1","0","0","0","14","10","4","0","2025-02-25 to 2025-02-25"
"Per_Vers","1","1","0","0","0","0","11","10","0","0","2023-11-01 to 2023-11-01"
"Rikke_Brünner","1","0","0","1","0","0","11","10","0","0","2022-07-11 to 2022-07-12"
"Tine_Rask_Mathiesen","1","0","1","0","0","0","11","8","2","0","2025-11-17 to 2025-11-17"
"networker","1","0","1","0","0","0","9","6","2","0","2021-04-04 to 2023-04-07"
"Ali_El-Atbi","0","0","0","0","0","0","0","0","0","0","N/A"
"Ana_Castellanos","0","0","0","0","0","0","0","0","0","0","N/A"
"Bettina_Ramsing","0","0","0","0","0","0","0","0","0","0","N/A"
"Gitte_Hildebrandt_-_små_skridt_til_bæredygtig_sundhed","0","0","0","0","0","0","6","5","0","0","N/A"
"Gottleben","0","0","0","0","0","0","4","3","0","0","N/A"
"Heidi_Stjerne","0","0","0","0","0","0","0","0","0","0","N/A"
"Johanne_Kubert","0","0","0","0","0","0","0","0","0","0","N/A"
"Lea_Nielsen","0","0","0","0","0","0","0","0","0","0","N/A"
"Marner_Analytics","0","0","0","0","0","0","0","0","0","0","N/A"
"Settings","0","0","0","0","0","0","0","0","0","0","N/A"
"Tegnestuen_Undertryk","0","0","0","0","0","0","5","4","0","0","N/A"
"VideoVisionær_kursus","0","0","0","0","0","0","9","8","0","0","N/A"
