id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
107851,798829c5-6b1f-4445-8a9a-b42bc44cf43b,umb://document/798829c56b1f44458a9ab42bc44cf43b,9b870171ec2948d290828eeddda0faf7,statsEntry,true,true,2025-03-25 17:43:50,2025-03-25 17:43:50,42510,20,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
107850,c5436e60-452a-4d7a-8285-3e91ec46f628,umb://document/c5436e60452a4d7a82853e91ec46f628,00d2f54635c04dbb811f38a56edb4920,statsEntry,true,true,2025-03-25 17:43:29,2025-03-25 17:43:29,42510,19,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
107849,a0b78310-0b2c-4134-b77f-56164e5dfa3d,umb://document/a0b783100b2c4134b77f56164e5dfa3d,51154870004f48cda5087b3e347f95ed,statsEntry,true,true,2025-03-25 17:43:12,2025-03-25 17:43:12,42510,18,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
107848,9f9774c4-b387-4ba3-b590-7a7de7268f13,umb://document/9f9774c4b3874ba3b5907a7de7268f13,cff3a987213d4060b76b32d47d8e014b,statsEntry,true,true,2025-03-25 17:41:06,2025-03-25 17:41:06,42510,17,,0,umb://document/d0f27e4eb7044d1bab4621d8852c3aff,
107774,616ad883-21db-46df-8b96-ffaf52b92afc,umb://document/616ad88321db46df8b96ffaf52b92afc,2f2b1d855bcd4eb1b272ce570ae2eecb,statsEntry,true,true,2025-03-24 23:57:32,2025-03-24 23:57:32,42510,16,,0,umb://document/d0f27e4eb7044d1bab4621d8852c3aff,
107773,09aa2ce4-afde-433e-9be0-1b4bc2358707,umb://document/09aa2ce4afde433e9be01b4bc2358707,ab73a9a56dad47ce9b0b7021202e0612,statsEntry,true,true,2025-03-24 23:56:53,2025-03-24 23:56:53,42510,15,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
107772,e5edb7c5-ca13-4300-a4bc-306b38c048c3,umb://document/e5edb7c5ca134300a4bc306b38c048c3,fc6a469fbf0d43f59868636331801b60,statsEntry,true,true,2025-03-24 23:56:23,2025-03-24 23:56:23,42510,14,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
68219,a7f463ad-9e2a-4b71-bbbe-1ac8cfda10e7,umb://document/a7f463ad9e2a4b71bbbe1ac8cfda10e7,e01d8fc78c23462ebf1ce354d61c9493,statsEntry,true,true,2022-07-28 17:03:47,2022-07-28 17:03:47,42510,13,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
68218,78b329e3-82b7-4fa3-88dd-0136ac8f17a9,umb://document/78b329e382b74fa388dd0136ac8f17a9,891e5b7dde78474c8ec551d63ccd9ca7,statsEntry,true,true,2022-07-28 17:03:38,2022-07-28 17:03:38,42510,12,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
68217,c4c551e9-905f-41fa-ba9b-790d4dd7f65c,umb://document/c4c551e9905f41faba9b790d4dd7f65c,c446b328daf94505b4787bf550f6a784,statsEntry,true,true,2022-07-28 17:03:28,2022-07-28 17:03:28,42510,11,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
68216,4e25200b-8ba8-479c-9332-96e52582306e,umb://document/4e25200b8ba8479c933296e52582306e,2be083eb1da248a18aca9f06c9950bda,statsEntry,true,true,2022-07-28 17:03:26,2022-07-28 17:03:26,42510,10,,0,umb://document/0eddf83f560f4d70829e4461764e66af,
