id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
115685,3ae35989-7de9-477c-82db-38325116dae4,umb://document/3ae359897de9477c82db38325116dae4,dc6888111a17480f8ae36010edd64d5e,statsEntry,true,true,2025-11-19 16:35:57,2025-11-19 16:35:57,112871,24,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
115684,db1ea6e9-c7d5-4312-b5ab-67aa56a0e3d6,umb://document/db1ea6e9c7d54312b5ab67aa56a0e3d6,d6ad29c94c2e47b198d699801543d51d,statsEntry,true,true,2025-11-19 16:34:54,2025-11-19 16:34:54,112871,23,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
115335,f8e8dd79-f173-4548-843a-b81adb2bebd1,umb://document/f8e8dd79f1734548843ab81adb2bebd1,dbcb2229e6cf4da898b866ac6b7647de,statsEntry,true,true,2025-11-13 14:09:49,2025-11-13 14:09:49,112871,22,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
115331,cd48095a-46af-4da9-a5c7-30d882156a1f,umb://document/cd48095a46af4da9a5c730d882156a1f,c5e7c50ec6b744d18d41db17edb0283a,statsEntry,true,true,2025-11-13 11:13:31,2025-11-13 11:13:31,112871,21,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
115330,9c0dd50f-f1a7-4991-92b2-4b696b735335,umb://document/9c0dd50ff1a7499192b24b696b735335,ec7db57ff8fe4ced8b8d02670a1b9316,statsEntry,true,true,2025-11-13 11:13:11,2025-11-13 11:13:11,112871,20,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
115235,03989785-c687-425f-aca5-438b91a79c3b,umb://document/03989785c687425faca5438b91a79c3b,3f1b2058cde840738c2015049d095d70,statsEntry,true,true,2025-11-11 11:04:35,2025-11-11 11:04:35,112871,19,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114993,8c147b91-29bc-49bb-934f-d6b7a9043fe9,umb://document/8c147b9129bc49bb934fd6b7a9043fe9,6333c38e181941b880bb84a341691889,statsEntry,true,true,2025-11-03 12:02:48,2025-11-03 12:02:48,112871,18,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114969,384b0309-cf38-4fad-b5ac-df1866c120f7,umb://document/384b0309cf384fadb5acdf1866c120f7,50c2230ad0bd4effb1de113d7b7cf832,statsEntry,true,true,2025-11-02 14:44:30,2025-11-02 14:44:30,112871,17,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114962,d0ac89b8-d2c3-4bc2-8747-c2fda1a37d44,umb://document/d0ac89b8d2c34bc28747c2fda1a37d44,67151ca2eaa84b01b7e92b9442ddb8b8,statsEntry,true,true,2025-11-02 12:37:12,2025-11-02 12:37:12,112871,16,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114923,7265f081-f98c-4df8-a0a2-9938aa75a507,umb://document/7265f081f98c4df8a0a29938aa75a507,6b4a027fa8b14c579e49ebf84a8fa3ff,statsEntry,true,true,2025-11-01 11:05:47,2025-11-01 11:05:47,112871,15,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114732,a0ae3a1a-657b-4e30-8119-f998239a63ab,umb://document/a0ae3a1a657b4e308119f998239a63ab,fc7fea6132604539afdf92e973e54a51,statsEntry,true,true,2025-10-27 20:52:52,2025-10-27 20:52:52,112871,14,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114433,8aacef38-f7df-4e6c-bc9d-3b9edda9532d,umb://document/8aacef38f7df4e6cbc9d3b9edda9532d,411b370771fb43ae9cb6850cdec19458,statsEntry,true,true,2025-10-22 09:15:10,2025-10-22 09:15:10,112871,13,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114432,afb2f11e-ace9-4b83-b019-c0c1189bfe26,umb://document/afb2f11eace94b83b019c0c1189bfe26,a54fa15d1e16492b88acd3d790ca9d32,statsEntry,true,true,2025-10-22 09:12:39,2025-10-22 09:12:39,112871,12,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114431,8c8aaf3a-ab10-45d0-8584-acce429052f0,umb://document/8c8aaf3aab1045d08584acce429052f0,7b83ada715f341b19923587733eb3576,statsEntry,true,true,2025-10-22 09:12:25,2025-10-22 09:12:25,112871,11,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
114090,b5876b48-f80c-45cb-91d6-2c36479aedc6,umb://document/b5876b48f80c45cb91d62c36479aedc6,d7b1aca6043f4b1c9fac8bc89ae4e1f9,statsEntry,true,true,2025-10-15 17:44:39,2025-10-15 17:44:39,112871,10,,0,umb://document/92e51311166b4b19929f6f6f58ca019d,
