id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
71741,4f10034d-5af7-418d-b59b-846a19774a1c,umb://document/4f10034d5af7418db59b846a19774a1c,cc97e5b8ad0c4ea4bfcc064c09a67662,statsEntry,true,true,2022-09-09 08:36:52,2022-09-09 08:36:52,57262,11,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
69014,fa6552ea-ee19-4b8a-8cf4-f1320a28bd3e,umb://document/fa6552eaee194b8a8cf4f1320a28bd3e,5ad50f0dfb1146f8a71500b16e137d1c,statsEntry,true,true,2022-08-25 11:23:32,2022-08-25 11:23:32,57262,10,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
66521,27d57d7d-1839-464e-bb1d-5c266846f6b5,umb://document/27d57d7d1839464ebb1d5c266846f6b5,830b9cb7016a4201b5d1d02c042afe2e,statsEntry,true,true,2022-06-17 09:53:19,2022-06-17 09:53:19,57262,9,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
64259,1589955e-b1a6-482f-abeb-6c3bc4815642,umb://document/1589955eb1a6482fabeb6c3bc4815642,2e05e0f211f542e28dd5754d6ce58d48,statsEntry,true,true,2022-05-10 12:17:05,2022-05-10 12:17:05,57262,8,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
64113,7a50131a-3a36-4872-ab8a-baa771851a89,umb://document/7a50131a3a364872ab8abaa771851a89,9cb5aa1e33474b2188e3632f10148f4c,statsEntry,true,true,2022-05-04 12:01:37,2022-05-04 12:01:37,57262,7,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
63696,29705fe1-cf62-4879-947f-78d03753186b,umb://document/29705fe1cf624879947f78d03753186b,d501bfb8db4f4168b3f52a0f669b2439,statsEntry,true,true,2022-04-20 14:30:23,2022-04-20 14:30:23,57262,6,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
63695,622d255b-3202-4299-b1e1-91df23890a5c,umb://document/622d255b32024299b1e191df23890a5c,7160fbcb3bcb4ed0b50d805d176641f1,statsEntry,true,true,2022-04-20 13:37:40,2022-04-20 13:37:40,57262,5,,0,umb://document/62bb5a002f1a4502b04512defa6c5488,
63694,274a4113-3bd8-47ed-81c9-e837e18fd461,umb://document/274a41133bd847ed81c9e837e18fd461,bf38abb8e3d2475d8a9d3007a94e7989,statsEntry,true,true,2022-04-20 13:37:37,2022-04-20 13:37:37,57262,4,,0,umb://document/d8f5ccd7dc8e46078435a3080900e1de,
63691,a1fbe09d-229c-4b0f-b0c5-608f20bdb0de,umb://document/a1fbe09d229c4b0fb0c5608f20bdb0de,c07979e8d0034cb29b4e976902d1af60,statsEntry,true,true,2022-04-20 13:34:12,2022-04-20 13:34:12,57262,3,,0,umb://document/68169d24d68549428fd38ca89d616517,
63690,2f1b5446-fd04-4b0e-86ec-8a045b4732da,umb://document/2f1b5446fd044b0e86ec8a045b4732da,ec795b07758f4824b672f2625204d288,statsEntry,true,true,2022-04-20 13:21:36,2022-04-20 13:21:36,57262,2,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
63319,0baa9de1-c7ee-4fa9-a2bb-c02701771946,umb://document/0baa9de1c7ee4fa9a2bbc02701771946,5ab26aeb4c4b40cab9dcfeaec7e34083,statsEntry,true,true,2022-04-06 14:36:35,2022-04-06 14:36:35,57262,1,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
62675,30a2122e-e111-46d6-b92e-cf47fb1f3cce,umb://document/30a2122ee11146d6b92ecf47fb1f3cce,02799d2d32404538bcb0dedac8cae593,statsEntry,true,true,2022-03-17 20:45:33,2022-03-17 20:45:33,57262,0,,0,umb://document/259201d80ad54d908a1e9fc1763c9860,
