id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,orderID,title,access,badge,code,description,expandedDescription,hidden,hideDownload,hidePlay,length,metaDescription,metaTitle,openWebContentFromList,openWebContentInNewWindows,production,productionLink,productLink,purchasePrice,rawFile,rentalPrice,siteMapOption,tags,thumbnail,trailer,type,videoDownloadURL,videoID,videoSize,videoStatus,videoThumbnailURL,webContentURL,year
55395,b1ab796b-acc5-46e1-a678-15e6556c95e4,umb://document/b1ab796bacc546e1a67815e6556c95e4,DM i stand-up 2021,media,true,true,2021-12-23 19:57:49,2024-11-08 13:03:48,45066,10,/fbidk/dm-i-stand-up/dm-i-stand-up-2021/,0,DM i stand-up 2021,58,Mest populære,,"Den 17. DM i STAND-UP med årets vært Jakob Thrane præsenterer 5 finalister overfor et begejstret publikum i Musikhuset Aarhus. Begivenheden blev sendt live på TV 2 Zulu den 25. november 2021.

I programmet oplever du årets fem finalister: Peter Werner, Velik Velikov, Oliver Stanescu, Niels Nielsen og Nicklas Do. Hvilke af dem bliver kåret som Danmarksmesteren 2021? 

Desuden optræder Danmarksmesteren 2019 Simon Væver med et preview fra sit første one-man show ‘Det er ik sjovt Simon’.

Dommerpanelet består af fire af Danmarks mest erfarne i underholdningsbranchen: Anders Fjelsted, Thomas Hartmann, Torben Chris og Torben Sangild.

DM i STAND-UP har siden 1992 kickstartet masser af kendte komikeres karrierer, og listen over komikere, der før har deltaget i DM er både lang og imponerende. 

DM i STAND-UP er produceret af FBI Productions.
",,0,0,0,120,,,0,0,FBI.DK ,,,59,,49,,"Comedy,Stand-up,DM i stand-up,Finalen",/media/3919/dm-i-standup-2021-poster.png,,73,https://videodelivery.net/5bdf65125c3c4f8d27f1ab5821963053/downloads/default.mp4,5bdf65125c3c4f8d27f1ab5821963053,1402203020,ready,https://videodelivery.net/5bdf65125c3c4f8d27f1ab5821963053/thumbnails/thumbnail.jpg,,2021
54583,7d13c8d5-894b-435e-b4a6-eb5c9b5812a9,umb://document/7d13c8d5894b435eb4a6eb5c9b5812a9,DM i standup 2019 ,media,true,true,2021-12-10 15:30:49,2022-03-08 22:38:08,45066,9,/fbidk/dm-i-stand-up/dm-i-standup-2019/,1,DM i standup 2019 ,58,Nyhed,,"DM i STAND-UP 2019 præsenteres af årets vært Mahamad Habane sammen med co-vært Phillip Devantier (vinderen af DM i STAND-UP 2018). De to værter præsenterer årets fem finalister overfor et begejstret publikum på Bremen Teater i København. Begivenheden blev sendt live på TV 2 Zulu den 20. november 2019. 

I programmet oplever du årets fem finalister: Niels Nørkjær, André Jakobsen, Johnny Robertson, Simon Væver og Troels Messmann. Det er TV 2 Zulus seer, aftenens publikum samt dommerpanelet der bestemmer, hvem der bliver kåret som Danmarksmester 2019. 

Dommerpanelet består af fem af: Anders Fjelsted, Christina Sørensen, Mikkel Rask (DM vinder 2015), Omar Marzouk og Torben Sangild.
 
DM i STAND-UP har siden 1992 kickstartet masser af kendte komikeres karrierer, og listen over danske komikere, der før har deltaget i DM i STAND-UP, er både lang og imponerende. 

DM I STAND-UP arrangeres af Danmarks ældste comedy bureau FBI - Funny Business Inc.",,0,0,0,125,,,0,0,FBI.DK ,,,39,,39,,"DM i stand-up 2019,Stand-up,Comedy,Finalen",/media/3918/poster-lowres.jpg,,73,https://videodelivery.net/1a6dcc01c22c83c4ecd243accad7f3e5/downloads/default.mp4,1a6dcc01c22c83c4ecd243accad7f3e5,1382140580,ready,https://videodelivery.net/1a6dcc01c22c83c4ecd243accad7f3e5/thumbnails/thumbnail.jpg,,2019
45143,6fc14951-d747-4b03-b81f-7e0dc83071c4,umb://document/6fc14951d7474b03b81f7e0dc83071c4,DM I STAND-UP 2018,media,true,true,2021-05-08 17:42:10,2022-03-08 22:38:05,45066,8,/fbidk/dm-i-stand-up/dm-i-stand-up-2018/,2,DM I STAND-UP 2018,58,,,"DM I Stand-Up 2018! 
I de indledende runder og semifinaler, har komikerne dystet om, at komme videre i konkurrencen og få en af de eftertragtede pladser i finalen.

I dette show kan du opleve hele finalen. Du får alle 7 optrædener fra finalisterne samt den spændende afgørelse! 

DM har efterhånden været med til at skabe en masse prominente navne indenfor stand-up-genren. Vinderen af DM får tildelt en 1-årig kontrakt med FBI - Funny Business Inc. 

Vært: Mikkel Klint Thorius 
Dommere: Carsten Bang, Brian Mørk. Jesper Juhl & Torben Chris.
Deltagere: Phillip Devantier, Simon Tang, Lars Dons, Jimmy Lauridsen, Mads de Krak, Conrad Molden & Olav Lundsgaard.",,0,0,0,120,,,0,0,FBI.DK,,,39,,39,,"Comedy,DM i standup,Standup",/media/3476/570x798.jpg,,73,https://videodelivery.net/8daf0486403a231f0ed951d4fc1107c4/downloads/default.mp4,8daf0486403a231f0ed951d4fc1107c4,1978200498,ready,https://videodelivery.net/8daf0486403a231f0ed951d4fc1107c4/thumbnails/thumbnail.jpg,,2018
45142,a5c5dec1-6ab2-4ff2-8570-976fb459785d,umb://document/a5c5dec16ab24ff28570976fb459785d,DM i stand-up 2017,media,true,true,2021-05-08 16:53:32,2022-03-08 22:38:03,45066,7,/fbidk/dm-i-stand-up/dm-i-stand-up-2017/,3,DM i stand-up 2017,58,,,"DM I Stand-up 2017! 
I de indledende runder og semifinaler, dyster spirende komikertalenter om, at komme videre i konkurrencen og få en af de eftertragtede pladser i finalen.

Komikerne leverer deres skarpeste sæt af jokes og publikum er med til at bestemme, sammen med dommerne, hvilke 2 komikere der skal videre på den pågældende aften.

DM har efterhånden været med til at skabe en masse prominente navne indenfor stand-up-genren. Vinderen af DM får tildelt en kontrakt med FBI (Funny Business Inc.).

Værter: Mikkel Rask, Heino Hansen, Ane Høgsberg 
Deltagere: Melvin Kakooza, Natasha Brock, Anders Nielsen, Jacob Taarnhøj, Jakob Thrane, Jonas Brøndum, Per Sodemann",,0,0,0,130,,,0,0,FBI.DK,,,39,,39,,"Comedy,DMi standup,Standup",/media/3466/400x600.jpg,,73,https://videodelivery.net/60c1a3a9aea09d8a180fb205662790ab/downloads/default.mp4,60c1a3a9aea09d8a180fb205662790ab,1674545160,ready,https://videodelivery.net/60c1a3a9aea09d8a180fb205662790ab/thumbnails/thumbnail.jpg,,2017
45081,71d6030d-f45f-4b0c-853c-487712b039d7,umb://document/71d6030df45f4b0c853c487712b039d7,DM i stand-up 2003,media,true,true,2021-05-07 19:55:03,2022-03-08 22:37:49,45066,0,/fbidk/dm-i-stand-up/dm-i-stand-up-2003/,4,DM i stand-up 2003,58,,,"DM I Stand-up 2003! 
I de indledende runder og semifinaler, dyster spirende komikertalenter om, at komme videre i konkurrencen og få en af de eftertragtede pladser i finalen.

Komikerne leverer deres skarpeste sæt af jokes og publikum er med til at bestemme, sammen med dommerne, hvilke 2 komikere der skal videre på den pågældende aften.

DM har efterhånden været med til at skabe en masse prominente navne indenfor stand-up-genren. Vinderen af DM får tildelt en kontrakt med FBI (Funny Business Inc.).

Værter: Anders Fjelsted, Martin Veltz, GEO 
Deltagere: Marianne Teils Kabakcis, Jan Carstensen, Jørgen Steen, Tommy Nielsen, Michael Palner, Maria Skytte, Kasper Hansen, Henrik Bruhn, Torben Chris, Dan Knudsen, Jesper Juhl, Mads L. Brynnum.",,0,0,0,105,,,0,0,FBI.DK,,,39,,39,,"Comedy,Standup,DM i stand-up",/media/3456/dm-i-stand-up-2003_400x600.jpg,,73,https://videodelivery.net/7d13b3b25a61b76b54614662babcc3da/downloads/default.mp4,7d13b3b25a61b76b54614662babcc3da,944840162,ready,https://videodelivery.net/7d13b3b25a61b76b54614662babcc3da/thumbnails/thumbnail.jpg,,2003
45105,a101b028-fcf0-4853-8e9c-92416eb57c19,umb://document/a101b028fcf048538e9c92416eb57c19,DM i stand-up 2004,media,true,true,2021-05-08 08:30:32,2022-03-08 22:37:51,45066,1,/fbidk/dm-i-stand-up/dm-i-stand-up-2004/,5,DM i stand-up 2004,58,,,"DM I Stand-up 2004! 
I de indledende runder og semifinaler, dyster spirende komikertalenter om, at komme videre i konkurrencen og få en af de eftertragtede pladser i finalen.

Komikerne leverer deres skarpeste sæt af jokes og publikum er med til at bestemme, sammen med dommerne, hvilke 2 komikere der skal videre på den pågældende aften.

DM har efterhånden været med til at skabe en masse prominente navne indenfor stand-up-genren. Vinderen af DM får tildelt en kontrakt med FBI (Funny Business Inc.).

Værter: Anders Fjelsted, Martin Veltz
Deltagere: Morten Møller, Christian Fuhlendorff, Torben Chris, Mads L. Brynnum, Tom Bue, Martin Mouritzen, Thomas Høgsted, Karsten Green, Jimmy Bonde, Martin Rasmussen, Sham, Linda Pedersen, Marianne Keils Kabakcis.",,0,0,0,1,,,0,0,FBI.DK,,,39,,39,,"Comedy,Standup,DM i standup",/media/3457/dm-i-stand-up-2004_400x600.jpg,,73,https://videodelivery.net/24949397f28777ac6381319af72128a0/downloads/default.mp4,24949397f28777ac6381319af72128a0,865475240,ready,https://videodelivery.net/24949397f28777ac6381319af72128a0/thumbnails/thumbnail.jpg,,2004
45106,f7afe50a-fca3-4e6a-9b70-61f543ac0def,umb://document/f7afe50afca34e6a9b7061f543ac0def,DM i stand-up 2006,media,true,true,2021-05-08 09:03:36,2022-03-08 22:37:53,45066,2,/fbidk/dm-i-stand-up/dm-i-stand-up-2006/,6,DM i stand-up 2006,58,,,"DM I Stand-up 2006! 
I de indledende runder og semifinaler, dyster spirende komikertalenter om, at komme videre i konkurrencen og få en af de eftertragtede pladser i finalen.

Komikerne leverer deres skarpeste sæt af jokes og publikum er med til at bestemme, sammen med dommerne, hvilke 2 komikere der skal videre på den pågældende aften.

DM har efterhånden været med til at skabe en masse prominente navne indenfor stand-up-genren. Vinderen af DM får tildelt en kontrakt med FBI (Funny Business Inc.).

Værter: Anders Fjelsted, Martin Veltz 
Deltagere: Elias Ehlers, Jimmi Nielsen, Johanne Gelmer, Johannes Sejr, Kaare Andersen, Lasse Eriksen, Lene Wittrup, Martin Høgsted, Martin Mouritzen, Mikkel Jensby, Sanne Søndergaard, Simon Talbot, Steen Molzen, Thomas Warberg, Torben Chris.",,0,0,0,120,,,0,0,FBI.DK,,,39,,39,,"Comedy,DM i standup,Standup",/media/3458/dm-i-stand-up-2006_400x600.jpg,,73,https://videodelivery.net/9bef71c2fe784b7b913800bd56356395/downloads/default.mp4,9bef71c2fe784b7b913800bd56356395,1089320620,ready,https://videodelivery.net/9bef71c2fe784b7b913800bd56356395/thumbnails/thumbnail.jpg,,2006
45114,a3b4917c-b5c3-40e6-bb4c-325175a9fb46,umb://document/a3b4917cb5c340e6bb4c325175a9fb46,DM i stand-up 2008,media,true,true,2021-05-08 10:24:02,2022-03-08 22:37:55,45066,3,/fbidk/dm-i-stand-up/dm-i-stand-up-2008/,7,DM i stand-up 2008,58,,,"DM I Stand-up 2008! 
I de indledende runder og semifinaler, dyster spirende komikertalenter om, at komme videre i konkurrencen og få en af de eftertragtede pladser i finalen.

Komikerne leverer deres skarpeste sæt af jokes og publikum er med til at bestemme, sammen med dommerne, hvilke 2 komikere der skal videre på den pågældende aften.

DM har efterhånden været med til at skabe en masse prominente navne indenfor stand-up-genren. Vinderen af DM får tildelt en kontrakt med FBI (Funny Business Inc.).",,0,0,0,120,,,0,0,FBI.DK,,,39,,39,,"Comedy,Standup,DM i standup",/media/3459/dm-logo2008.jpg,,73,https://videodelivery.net/9455c9ac2f3fe4fd2700a7cddd6d8f9c/downloads/default.mp4,9455c9ac2f3fe4fd2700a7cddd6d8f9c,1055856219,ready,https://videodelivery.net/9455c9ac2f3fe4fd2700a7cddd6d8f9c/thumbnails/thumbnail.jpg,,2008
45128,a206798f-213a-4a31-a03c-ecf01988cb02,umb://document/a206798f213a4a31a03cecf01988cb02,DM i stand-up 2010,media,true,true,2021-05-08 12:12:18,2022-03-08 22:37:57,45066,4,/fbidk/dm-i-stand-up/dm-i-stand-up-2010/,8,DM i stand-up 2010,58,,,"M I Stand-up 2010!
I de indledende runder og semifinaler, dyster spirende komikertalenter om, at komme videre i konkurrencen og få en af de eftertragtede pladser i finalen.

Komikerne leverer deres skarpeste sæt af jokes og publikum er med til at bestemme, sammen med dommerne, hvilke 2 komikere der skal videre på den pågældende aften.

DM har efterhånden været med til at skabe en masse prominente navne indenfor stand-up-genren. Vinderen af DM får tildelt en kontrakt med FBI (Funny Business Inc.) samt en rejse!

Værter: Anders Fjelsted & Martin Høgsted

Finalister: Ruben Søltoft, Jakob Svendsen, Heino Hansen, Kasper Gross, Martin Nørgaard og Valdemar Pustelnik.",,0,0,0,120,,,0,0,FBI.DK,,,39,,39,,"Comedy,Standup,DM i standup",/media/3461/dm-i-stand-up-10-_facing_.jpg,,73,https://videodelivery.net/6d08fb073fd585296ebd2c3665ac3396/downloads/default.mp4,6d08fb073fd585296ebd2c3665ac3396,1897188033,ready,https://videodelivery.net/6d08fb073fd585296ebd2c3665ac3396/thumbnails/thumbnail.jpg,,2010
45129,7bdaf49c-1eb5-4654-a525-ccd99c42ed9d,umb://document/7bdaf49c1eb54654a525ccd99c42ed9d,DM i stand-up 2013,media,true,true,2021-05-08 12:45:19,2022-03-08 22:37:59,45066,5,/fbidk/dm-i-stand-up/dm-i-stand-up-2013/,9,DM i stand-up 2013,58,,,"DM I Stand-up 2013, blev afholdt med 10 indledende runder som foregik rundt om i landet på spillesteder, i februar 2013. Semifinale og finale blev afholdt i København i marts 2013.

Konkurrencen var åben for alle, men for at kvalificere sig til DM i stand-up, skal man have optjent en vis erfaring som komiker bl.a. via open mike netværket i Danmark. 

Vinderen af DM i stand-up, fik et års kontrakt med stand-up bureauet FBI og dermed starten på en professionel stand-up karriere.

Værter: Martin Høgsted
Deltagere: Hjalte Rytter, Tjelle Vejrup, Mark le Fêvre, Daniel Lill, Mikkel Klint Thorius, Christian Bols, Alex Thelander.",,0,0,0,130,,,0,0,FBI.DK,,,39,,39,,"DM i Standup,Comedy,Standup",/media/3462/dm13_cover_highres.jpg,,73,https://videodelivery.net/319e5fe3e8f1433f8a0cf86f82df6243/downloads/default.mp4,319e5fe3e8f1433f8a0cf86f82df6243,1255432572,ready,https://videodelivery.net/319e5fe3e8f1433f8a0cf86f82df6243/thumbnails/thumbnail.jpg,,2013
