id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
97516,dd5af336-b26d-40e3-a308-6f56f4a72538,umb://document/dd5af336b26d40e3a3086f56f4a72538,a42c1bb279a1480d90442a8fdc883d3b,statsEntry,true,true,2024-05-31 14:34:34,2024-05-31 14:34:34,91261,9,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
97515,a824f259-6f75-4125-85fb-c219830a2223,umb://document/a824f2596f75412585fbc219830a2223,9dcf8c972c844b5f9b5a7e799b48e366,statsEntry,true,true,2024-05-31 14:33:35,2024-05-31 14:33:35,91261,8,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
93153,a6439488-2bff-4b3c-9206-7cd29d79bcc4,umb://document/a64394882bff4b3c92067cd29d79bcc4,d4bd374c86194862a2384baa04a88d93,statsEntry,true,true,2023-12-13 19:23:56,2023-12-13 19:23:56,91261,7,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
93152,3a2b8b47-234e-47c3-b386-4f18825c93e9,umb://document/3a2b8b47234e47c3b3864f18825c93e9,bcf0bc7e34ae479ca7487d4e34a50324,statsEntry,true,true,2023-12-13 19:19:57,2023-12-13 19:19:57,91261,6,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
93151,aa56693a-66cd-4566-a85e-8ae0d1caad20,umb://document/aa56693a66cd4566a85e8ae0d1caad20,94d8faf0f60b43e5a945138fede844c6,statsEntry,true,true,2023-12-13 19:18:52,2023-12-13 19:18:52,91261,5,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
93150,0a432b18-0ee7-45d8-84f9-f643b108f3c6,umb://document/0a432b180ee745d884f9f643b108f3c6,5e1fd2ea19c6417ca7bb286db4e6a402,statsEntry,true,true,2023-12-13 19:18:19,2023-12-13 19:18:19,91261,4,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
91497,988d7c59-bdf2-42b7-9ad7-4a6899fe3452,umb://document/988d7c59bdf242b79ad74a6899fe3452,b3491b1afea047449821ef81b7b2c0f7,statsEntry,true,true,2023-10-24 16:41:28,2023-10-24 16:41:28,91261,3,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
91279,cccd6a73-87eb-475e-81fe-8788d9e1e23e,umb://document/cccd6a7387eb475e81fe8788d9e1e23e,9e5d71863076484c8114294b0e3c0b35,statsEntry,true,true,2023-10-17 17:12:03,2023-10-17 17:12:03,91261,2,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
91278,e50832df-5f26-4802-8aff-334277aae65e,umb://document/e50832df5f2648028aff334277aae65e,be9b9605fad44c05902526b813934ec8,statsEntry,true,true,2023-10-17 17:09:34,2023-10-17 17:09:34,91261,1,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
91277,6ac7074a-137a-44f9-aa12-2276dfabd81e,umb://document/6ac7074a137a44f9aa122276dfabd81e,2dd0ad55c5d44ce6b7afcaba809f90dd,statsEntry,true,true,2023-10-17 17:08:33,2023-10-17 17:08:33,91261,0,,0,umb://document/6d3670ef86734b6f9ae6e8f591eff807,
