id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
114691,f064b9dc-3988-4b0f-9e08-8ddd85fcbe8a,umb://document/f064b9dc39884b0f9e088ddd85fcbe8a,c1112ee85e0341a28c6ab446e5e01253,statsEntry,true,true,2025-10-26 13:11:46,2025-10-26 13:11:46,96550,14,,0,umb://document/e3faf603e09f492ea242d8c0618e25d0,
111588,09059fe3-1b49-4e41-9154-3ad6b41e992b,umb://document/09059fe31b494e4191543ad6b41e992b,45ee8ae10f404d2687307c8d7b5622f2,statsEntry,true,true,2025-08-05 20:37:19,2025-08-05 20:37:19,96550,13,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
111587,e3a42aeb-178c-49e5-bf85-907bdf068cbd,umb://document/e3a42aeb178c49e5bf85907bdf068cbd,b208eca9c3a14b9d9485eeaa20092c6c,statsEntry,true,true,2025-08-05 20:06:06,2025-08-05 20:06:06,96550,12,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
108678,9ca83f66-4b1f-4480-8e79-37dafb0f16af,umb://document/9ca83f664b1f44808e7937dafb0f16af,24f3ac0380a7453a938fb7c8e9bec6df,statsEntry,true,true,2025-04-20 20:13:59,2025-04-20 20:13:59,96550,11,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
108616,a2ff5e74-3f79-4c1e-b049-456af26e61ce,umb://document/a2ff5e743f794c1eb049456af26e61ce,3c4ac3882ce84f569b549628bbf69550,statsEntry,true,true,2025-04-19 07:18:14,2025-04-19 07:18:14,96550,10,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
108603,8a1f2561-a177-49ae-acbb-dfb4ae36a917,umb://document/8a1f2561a17749aeacbbdfb4ae36a917,cb8cebb266be481cab946a3c5013f241,statsEntry,true,true,2025-04-18 19:03:59,2025-04-18 19:03:59,96550,9,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
108602,7294abd0-ee96-41c4-a19a-cbac67587a37,umb://document/7294abd0ee9641c4a19acbac67587a37,21d68f17137644218f00a4a13c55a9c0,statsEntry,true,true,2025-04-18 19:02:34,2025-04-18 19:02:34,96550,8,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
103264,6f43d1c8-8e3e-48dc-8019-31c8d1536cf4,umb://document/6f43d1c88e3e48dc801931c8d1536cf4,1334703565e047bcafb6f1d8db7b2c4e,statsEntry,true,true,2024-12-01 06:03:05,2024-12-01 06:03:05,96550,7,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
98119,5ee66ecc-f2fd-47fb-98ca-e1421f6906d6,umb://document/5ee66eccf2fd47fb98cae1421f6906d6,14249abfc1164cfd89ed002e7bd5c83e,statsEntry,true,true,2024-06-23 11:40:11,2024-06-23 11:40:11,96550,6,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
96964,b86b0bef-edd1-4598-b8ac-e74843170bc1,umb://document/b86b0befedd14598b8ace74843170bc1,808a584a8fc94d3c8a3e3a019b387da6,statsEntry,true,true,2024-05-08 19:13:51,2024-05-08 19:13:51,96550,5,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
96963,12e95578-34ca-4e1a-a34a-c7ca4b8d6913,umb://document/12e9557834ca4e1aa34ac7ca4b8d6913,1d0d5fcb53ac4a99acc630115b8cbab5,statsEntry,true,true,2024-05-08 19:13:45,2024-05-08 19:13:45,96550,4,,0,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
96665,45107cc4-32c0-419c-8735-35db646ad4c5,umb://document/45107cc432c0419c873535db646ad4c5,77468d1bdd0e48099f979352a0e28b97,statsEntry,true,true,2024-04-27 17:27:52,2024-04-27 17:27:52,96550,3,,1,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
96653,258d787c-163c-4f84-a2b8-8a1b993447da,umb://document/258d787c163c4f84a2b88a1b993447da,0645ae9792ad4d56ae4a2ae1574278bf,statsEntry,true,true,2024-04-26 14:09:53,2024-04-26 14:09:53,96550,2,,0,umb://document/c8f41c135cc04ca18e880f6b2971a596,
96652,a7ee01b8-75b1-4601-8eab-e5bd1b10eb72,umb://document/a7ee01b875b146018eabe5bd1b10eb72,5d202314e5d347269eee690e0c1b0d6b,statsEntry,true,true,2024-04-26 13:14:29,2024-04-26 13:14:29,96550,1,,1,umb://document/1b1321dae4ae4caead31fb6d8fe236d9,
96578,70f2c401-1414-4188-8ef6-76feb490218c,umb://document/70f2c401141441888ef676feb490218c,8bddb33fea284eb7b0d8e2c150ef7cf7,statsEntry,true,true,2024-04-23 10:58:11,2024-04-23 10:58:11,96550,0,,0,umb://document/62b60b71852040349fa16646e0d8092d,
