id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
124094,7d264ad0-3db1-4324-99e6-3bbe7a887c3c,umb://document/7d264ad03db1432499e63bbe7a887c3c,c9c5b9c5cd2c466a91bf883b3a4baf7c,statsEntry,true,true,2026-06-02 09:06:05,2026-06-02 09:06:05,2839,5982,/fysioteamet/stats/c9c5b9c5cd2c466a91bf883b3a4baf7c/,1,umb://document/e92c2feb91dc48a5959e805a4b35d1da,
124093,ce8b6e3d-ec89-40d8-b736-1ec601694982,umb://document/ce8b6e3dec8940d8b7361ec601694982,1a007f2adbf94e3f8a2b51cfcb70f398,statsEntry,true,true,2026-06-02 09:00:22,2026-06-02 09:00:22,2839,5981,/fysioteamet/stats/1a007f2adbf94e3f8a2b51cfcb70f398/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
124070,31a51803-db63-432d-aa25-c847eed0990e,umb://document/31a51803db63432daa25c847eed0990e,54d0f99d5d8d4d389d6712bcb793eef5,statsEntry,true,true,2026-06-01 10:33:47,2026-06-01 10:33:47,2839,5980,/fysioteamet/stats/54d0f99d5d8d4d389d6712bcb793eef5/,1,umb://document/004aa00efadd46f2be65b786b28dd287,
124069,1dcf6a9c-7023-4091-b7fb-76b4ea3a1319,umb://document/1dcf6a9c70234091b7fb76b4ea3a1319,f5da416b230b4edcb832e3f480efc13e,statsEntry,true,true,2026-06-01 10:15:19,2026-06-01 10:15:19,2839,5979,/fysioteamet/stats/f5da416b230b4edcb832e3f480efc13e/,1,umb://document/6f46f9fc809e47c485b61d5410800eb7,
124068,0c212545-6ce0-4a0c-bda3-0f71ecbbbe02,umb://document/0c2125456ce04a0cbda30f71ecbbbe02,4a6c55e90c9843cd8f1f4ce4e43a10f9,statsEntry,true,true,2026-06-01 10:10:51,2026-06-01 10:10:51,2839,5978,/fysioteamet/stats/4a6c55e90c9843cd8f1f4ce4e43a10f9/,1,umb://document/cdca851b3134441ebf3348786043e6c8,
124067,18c417f8-a269-49f7-9c91-d4130178cb64,umb://document/18c417f8a26949f79c91d4130178cb64,ef7b9203da72419b89f564c96914ce4a,statsEntry,true,true,2026-06-01 10:10:33,2026-06-01 10:10:33,2839,5977,/fysioteamet/stats/ef7b9203da72419b89f564c96914ce4a/,1,umb://document/cdca851b3134441ebf3348786043e6c8,
124066,c76905fe-475e-436f-a83b-d7a264584c66,umb://document/c76905fe475e436fa83bd7a264584c66,901db211ef3d4e468a312ced78addfe5,statsEntry,true,true,2026-06-01 10:06:02,2026-06-01 10:06:02,2839,5976,/fysioteamet/stats/901db211ef3d4e468a312ced78addfe5/,1,umb://document/2c8248e69d084d40856e72eead85934e,
124065,1972edfc-7a55-4bd3-9771-5149247f9daa,umb://document/1972edfc7a554bd397715149247f9daa,6ac33860bc2e4ef083f27b7fb03d790e,statsEntry,true,true,2026-06-01 09:59:38,2026-06-01 09:59:38,2839,5975,/fysioteamet/stats/6ac33860bc2e4ef083f27b7fb03d790e/,1,umb://document/85e9f2e8875d4a18b085725e675035d7,
124064,5234a82b-80c1-47e8-b7be-07945e642121,umb://document/5234a82b80c147e8b7be07945e642121,d2359baa28854251b90222d5bf082c66,statsEntry,true,true,2026-06-01 09:54:15,2026-06-01 09:54:15,2839,5974,/fysioteamet/stats/d2359baa28854251b90222d5bf082c66/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
124063,df7bf694-a129-4350-af74-29042da467e3,umb://document/df7bf694a1294350af7429042da467e3,b968efd447694833be88dc2463c22c12,statsEntry,true,true,2026-06-01 09:49:15,2026-06-01 09:49:15,2839,5973,/fysioteamet/stats/b968efd447694833be88dc2463c22c12/,1,umb://document/e92c2feb91dc48a5959e805a4b35d1da,
124050,3b41e3af-4120-4b55-a7b1-a47542780949,umb://document/3b41e3af41204b55a7b1a47542780949,a370824c146b4e2687b9c913f6399b9d,statsEntry,true,true,2026-05-31 19:01:07,2026-05-31 19:01:07,2839,5972,/fysioteamet/stats/a370824c146b4e2687b9c913f6399b9d/,1,umb://document/cdca851b3134441ebf3348786043e6c8,
124049,d9178cdc-f0b3-4ebf-8c67-bf2f1cf0783a,umb://document/d9178cdcf0b34ebf8c67bf2f1cf0783a,7b49db370a5248edbee66b0c6c131ec5,statsEntry,true,true,2026-05-31 18:59:23,2026-05-31 18:59:23,2839,5971,/fysioteamet/stats/7b49db370a5248edbee66b0c6c131ec5/,1,umb://document/85e9f2e8875d4a18b085725e675035d7,
124041,5a00678d-846d-4ab2-a955-385110fc1f44,umb://document/5a00678d846d4ab2a955385110fc1f44,4ae5aa0bff3b403fb78faefef37c4ba0,statsEntry,true,true,2026-05-31 18:53:27,2026-05-31 18:53:27,2839,5970,/fysioteamet/stats/4ae5aa0bff3b403fb78faefef37c4ba0/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
124040,9e548c77-22c0-4405-b278-be9b6a3c92d3,umb://document/9e548c7722c04405b278be9b6a3c92d3,dc19aeeb4d864966aca9ac50946f6306,statsEntry,true,true,2026-05-31 18:48:39,2026-05-31 18:48:39,2839,5969,/fysioteamet/stats/dc19aeeb4d864966aca9ac50946f6306/,1,umb://document/2c8248e69d084d40856e72eead85934e,
124039,e85594fb-f22d-4663-803e-b04e47d1dae0,umb://document/e85594fbf22d4663803eb04e47d1dae0,d9cea4027d1d4e4d8282aa6d5c628322,statsEntry,true,true,2026-05-31 18:34:19,2026-05-31 18:34:19,2839,5968,/fysioteamet/stats/d9cea4027d1d4e4d8282aa6d5c628322/,1,umb://document/004aa00efadd46f2be65b786b28dd287,
124038,be9efd0e-4070-4cae-bead-b434a46105f2,umb://document/be9efd0e40704caebeadb434a46105f2,8bba55911d1b4eda8f441a7c5936e7d0,statsEntry,true,true,2026-05-31 18:25:19,2026-05-31 18:25:19,2839,5967,/fysioteamet/stats/8bba55911d1b4eda8f441a7c5936e7d0/,1,umb://document/e92c2feb91dc48a5959e805a4b35d1da,
123955,f0434bb1-ea37-4d61-8fd7-4dec9cb83fa8,umb://document/f0434bb1ea374d618fd74dec9cb83fa8,209c301d9e1c4795bd8f6d87458e2036,statsEntry,true,true,2026-05-30 12:09:30,2026-05-30 12:09:30,2839,5966,/fysioteamet/stats/209c301d9e1c4795bd8f6d87458e2036/,1,umb://document/47e0177fdd1a4f3dbd23aef446c4a87f,
123716,474217ad-dbc1-4cd0-a978-dd20776b389d,umb://document/474217addbc14cd0a978dd20776b389d,997495d34fee45628858117926613208,statsEntry,true,true,2026-05-27 13:36:30,2026-05-27 13:36:30,2839,5965,/fysioteamet/stats/997495d34fee45628858117926613208/,1,umb://document/004aa00efadd46f2be65b786b28dd287,
123710,942550cd-5951-4e39-9441-13014dabc80d,umb://document/942550cd59514e39944113014dabc80d,168d0505c35c49769de5a41cf525a6e4,statsEntry,true,true,2026-05-27 07:48:37,2026-05-27 07:48:37,2839,5964,/fysioteamet/stats/168d0505c35c49769de5a41cf525a6e4/,1,umb://document/47e0177fdd1a4f3dbd23aef446c4a87f,
123501,7212aef3-2631-4bf2-a1f8-40bdbfca15ed,umb://document/7212aef326314bf2a1f840bdbfca15ed,0957c127f6184f9b86c49ebe3ec3ac18,statsEntry,true,true,2026-05-25 22:54:10,2026-05-25 22:54:10,2839,5963,/fysioteamet/stats/0957c127f6184f9b86c49ebe3ec3ac18/,1,umb://document/47e0177fdd1a4f3dbd23aef446c4a87f,
123414,f08066f9-e5de-4053-ad81-ebfa50beb405,umb://document/f08066f9e5de4053ad81ebfa50beb405,45ff1cf66abc4e6bb532ac37baebccb4,statsEntry,true,true,2026-05-22 07:00:25,2026-05-22 07:00:25,2839,5962,/fysioteamet/stats/45ff1cf66abc4e6bb532ac37baebccb4/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
123400,5e42d3b7-b673-4ad0-ac51-15aaa6058ab1,umb://document/5e42d3b7b6734ad0ac5115aaa6058ab1,65669dab9ec646908ed5536be713cdf4,statsEntry,true,true,2026-05-20 05:06:53,2026-05-20 05:06:53,2839,5961,/fysioteamet/stats/65669dab9ec646908ed5536be713cdf4/,1,umb://document/e92c2feb91dc48a5959e805a4b35d1da,
123399,6c296579-a5dd-401a-b31d-aaeccc9bd5e4,umb://document/6c296579a5dd401ab31daaeccc9bd5e4,f7d2c68d83f14c25977b0c82cefd7e17,statsEntry,true,true,2026-05-20 05:05:15,2026-05-20 05:05:15,2839,5960,/fysioteamet/stats/f7d2c68d83f14c25977b0c82cefd7e17/,1,umb://document/2c8248e69d084d40856e72eead85934e,
123381,0e5e68ab-4ce0-4bd5-818d-509585f23841,umb://document/0e5e68ab4ce04bd5818d509585f23841,2f5f7842cca94f748a4230a2c8fffcff,statsEntry,true,true,2026-05-18 10:48:57,2026-05-18 10:48:57,2839,5959,/fysioteamet/stats/2f5f7842cca94f748a4230a2c8fffcff/,1,umb://document/cdca851b3134441ebf3348786043e6c8,
123357,3d909dbe-72c1-4e87-8cb4-604746e6b878,umb://document/3d909dbe72c14e878cb4604746e6b878,2eb8db8281474e4db5c645df297949e9,statsEntry,true,true,2026-05-17 12:40:08,2026-05-17 12:40:08,2839,5958,/fysioteamet/stats/2eb8db8281474e4db5c645df297949e9/,1,umb://document/e92c2feb91dc48a5959e805a4b35d1da,
123355,feafc0ce-d852-4aab-b4e5-bf29345041ba,umb://document/feafc0ced8524aabb4e5bf29345041ba,0345d5b9efb6427ea90a2ccd54053eaa,statsEntry,true,true,2026-05-17 09:53:28,2026-05-17 09:53:28,2839,5957,/fysioteamet/stats/0345d5b9efb6427ea90a2ccd54053eaa/,1,umb://document/e92c2feb91dc48a5959e805a4b35d1da,
123354,0f3e598a-0cf4-4e80-a7d4-79f94e3f436d,umb://document/0f3e598a0cf44e80a7d479f94e3f436d,7684facc743d43898f4941556d9b54cd,statsEntry,true,true,2026-05-17 09:52:25,2026-05-17 09:52:25,2839,5956,/fysioteamet/stats/7684facc743d43898f4941556d9b54cd/,1,umb://document/e92c2feb91dc48a5959e805a4b35d1da,
123326,ff37d7be-2cce-47e6-b249-9a1e0dc941d7,umb://document/ff37d7be2cce47e6b2499a1e0dc941d7,c56b142e2a4946c2877c185afd3c15ff,statsEntry,true,true,2026-05-16 17:11:36,2026-05-16 17:11:36,2839,5955,/fysioteamet/stats/c56b142e2a4946c2877c185afd3c15ff/,1,umb://document/47e0177fdd1a4f3dbd23aef446c4a87f,
123177,4c2b8300-6f54-48c7-a853-2a7630873601,umb://document/4c2b83006f5448c7a8532a7630873601,8610257f7b2b4b24abeaeb33aac455f6,statsEntry,true,true,2026-05-13 11:42:45,2026-05-13 11:42:45,2839,5954,/fysioteamet/stats/8610257f7b2b4b24abeaeb33aac455f6/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
123154,c95aec1b-f805-44d2-9c91-534fdd1e799e,umb://document/c95aec1bf80544d29c91534fdd1e799e,49a6fda927514b9eb7fc0fd65e2c90e1,statsEntry,true,true,2026-05-12 10:10:01,2026-05-12 10:10:01,2839,5953,/fysioteamet/stats/49a6fda927514b9eb7fc0fd65e2c90e1/,1,umb://document/6f46f9fc809e47c485b61d5410800eb7,
123108,61b408ae-a6bc-4874-987e-c5de71552083,umb://document/61b408aea6bc4874987ec5de71552083,e794319c9f5040ad90f5e8effb777766,statsEntry,true,true,2026-05-11 09:40:53,2026-05-11 09:40:53,2839,5952,/fysioteamet/stats/e794319c9f5040ad90f5e8effb777766/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
123091,9147c644-0202-4fa5-95cd-292cedcb96a9,umb://document/9147c64402024fa595cd292cedcb96a9,a00505cf6a0d4c3ebfdbf75546ef5099,statsEntry,true,true,2026-05-10 09:35:32,2026-05-10 09:35:32,2839,5951,/fysioteamet/stats/a00505cf6a0d4c3ebfdbf75546ef5099/,1,umb://document/6f46f9fc809e47c485b61d5410800eb7,
123090,68bb75e0-8a50-4b14-98ba-dd87e65f0c52,umb://document/68bb75e08a504b1498badd87e65f0c52,e9c32293a8844857b33179a9df58d25d,statsEntry,true,true,2026-05-10 09:32:39,2026-05-10 09:32:39,2839,5950,/fysioteamet/stats/e9c32293a8844857b33179a9df58d25d/,1,umb://document/004aa00efadd46f2be65b786b28dd287,
123089,1e023c72-0d35-48a9-87b8-750555238bb9,umb://document/1e023c720d3548a987b8750555238bb9,522c4bb322214e23ac00a1a6f346df24,statsEntry,true,true,2026-05-10 09:27:20,2026-05-10 09:27:20,2839,5949,/fysioteamet/stats/522c4bb322214e23ac00a1a6f346df24/,1,umb://document/47e0177fdd1a4f3dbd23aef446c4a87f,
123088,5a634548-9e14-4a8c-9f99-947138dd14c0,umb://document/5a6345489e144a8c9f99947138dd14c0,eaa387a261964849837f9521574d513e,statsEntry,true,true,2026-05-10 09:25:13,2026-05-10 09:25:13,2839,5948,/fysioteamet/stats/eaa387a261964849837f9521574d513e/,1,umb://document/47e0177fdd1a4f3dbd23aef446c4a87f,
122994,d0ef5b84-68e0-494e-adba-7cf6f87c0947,umb://document/d0ef5b8468e0494eadba7cf6f87c0947,e92dbb38f713494caa3539379fa7dbe4,statsEntry,true,true,2026-05-06 05:51:23,2026-05-06 05:51:23,2839,5947,/fysioteamet/stats/e92dbb38f713494caa3539379fa7dbe4/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
122993,05d35c61-998b-4d1c-bc18-8349dc11ddbf,umb://document/05d35c61998b4d1cbc188349dc11ddbf,a4f8209bbe734143bfc122ea480b1207,statsEntry,true,true,2026-05-06 05:41:11,2026-05-06 05:41:11,2839,5946,/fysioteamet/stats/a4f8209bbe734143bfc122ea480b1207/,1,umb://document/004aa00efadd46f2be65b786b28dd287,
122983,5cbe74d5-ba09-4a77-b4ea-667d5336d320,umb://document/5cbe74d5ba094a77b4ea667d5336d320,90461b1bf2344089a455d88213d12d06,statsEntry,true,true,2026-05-05 16:30:17,2026-05-05 16:30:17,2839,5945,/fysioteamet/stats/90461b1bf2344089a455d88213d12d06/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
122962,c4b944f7-9925-444a-baaa-6a7c6af76e23,umb://document/c4b944f79925444abaaa6a7c6af76e23,57845ac788aa43c6b3dd306498d6a70f,statsEntry,true,true,2026-05-05 06:15:17,2026-05-05 06:15:17,2839,5944,/fysioteamet/stats/57845ac788aa43c6b3dd306498d6a70f/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
122961,b7740088-03a8-4d82-ab4c-53b1b6209eed,umb://document/b774008803a84d82ab4c53b1b6209eed,ca832d20a75241f2833f5d0473d26e76,statsEntry,true,true,2026-05-05 06:04:34,2026-05-05 06:04:34,2839,5943,/fysioteamet/stats/ca832d20a75241f2833f5d0473d26e76/,1,umb://document/004aa00efadd46f2be65b786b28dd287,
122740,f62d5b60-ab68-45c0-87ae-836046ae5aa0,umb://document/f62d5b60ab6845c087ae836046ae5aa0,2dff53cfc5f44cfbbd83d0ffc35484ed,statsEntry,true,true,2026-04-28 22:34:35,2026-04-28 22:34:35,2839,5942,/fysioteamet/stats/2dff53cfc5f44cfbbd83d0ffc35484ed/,1,umb://document/85e9f2e8875d4a18b085725e675035d7,
122739,ecf8c569-f68a-43e9-880a-c726c9a5fdc4,umb://document/ecf8c569f68a43e9880ac726c9a5fdc4,1eda6616ed654aa5b4f6776ceed12189,statsEntry,true,true,2026-04-28 22:31:39,2026-04-28 22:31:39,2839,5941,/fysioteamet/stats/1eda6616ed654aa5b4f6776ceed12189/,1,umb://document/2c8248e69d084d40856e72eead85934e,
122738,a9b75b51-92ef-4a18-bc13-0d3ed64a9e1d,umb://document/a9b75b5192ef4a18bc130d3ed64a9e1d,e0fa6ac9a6fb4565953fbc329cf420e2,statsEntry,true,true,2026-04-28 22:27:48,2026-04-28 22:27:48,2839,5940,/fysioteamet/stats/e0fa6ac9a6fb4565953fbc329cf420e2/,1,umb://document/6f46f9fc809e47c485b61d5410800eb7,
122683,3095e65a-c6e3-4d35-8f35-1d0b69a95960,umb://document/3095e65ac6e34d358f351d0b69a95960,08847807975a4e71a98047107cfa55c6,statsEntry,true,true,2026-04-27 18:33:00,2026-04-27 18:33:00,2839,5939,/fysioteamet/stats/08847807975a4e71a98047107cfa55c6/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
121647,e1c140da-878b-4ccb-8411-03e47e4ed9de,umb://document/e1c140da878b4ccb841103e47e4ed9de,4eb10cc633814ea993e326b80428e4ea,statsEntry,true,true,2026-04-26 16:13:22,2026-04-26 16:13:22,2839,5938,/fysioteamet/stats/4eb10cc633814ea993e326b80428e4ea/,1,umb://document/cdca851b3134441ebf3348786043e6c8,
121646,0f614450-55b5-44d3-82f5-adef3f890361,umb://document/0f61445055b544d382f5adef3f890361,859a9d8804d04e67a22ab21e39efa754,statsEntry,true,true,2026-04-26 16:10:31,2026-04-26 16:10:31,2839,5937,/fysioteamet/stats/859a9d8804d04e67a22ab21e39efa754/,1,umb://document/85e9f2e8875d4a18b085725e675035d7,
121629,6f7b4ff3-acab-4a29-a6ee-89d89cd57248,umb://document/6f7b4ff3acab4a29a6ee89d89cd57248,332160b61a8248bea5b6840cbca24a57,statsEntry,true,true,2026-04-26 09:58:27,2026-04-26 09:58:27,2839,5936,/fysioteamet/stats/332160b61a8248bea5b6840cbca24a57/,1,umb://document/2c8248e69d084d40856e72eead85934e,
121628,1b1b9f0e-e5da-4404-95a3-7ee6f4568d73,umb://document/1b1b9f0ee5da440495a37ee6f4568d73,e94b1afb688e41889037ad34ef0d07a4,statsEntry,true,true,2026-04-26 09:52:25,2026-04-26 09:52:25,2839,5935,/fysioteamet/stats/e94b1afb688e41889037ad34ef0d07a4/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
121580,87bf4ff1-7ae1-4006-bcc8-80176aa1f4a9,umb://document/87bf4ff17ae14006bcc880176aa1f4a9,6aca656297ab4457916795785c19a5d1,statsEntry,true,true,2026-04-25 15:22:47,2026-04-25 15:22:47,2839,5934,/fysioteamet/stats/6aca656297ab4457916795785c19a5d1/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
121492,c48d3115-96b7-415f-852a-cd3f7cc4e155,umb://document/c48d311596b7415f852acd3f7cc4e155,aee65be4062d491d87f5edf6deaabcdd,statsEntry,true,true,2026-04-23 15:50:01,2026-04-23 15:50:01,2839,5933,/fysioteamet/stats/aee65be4062d491d87f5edf6deaabcdd/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
121489,7bef2b64-4e68-4b0f-8295-a2f337471ea4,umb://document/7bef2b644e684b0f8295a2f337471ea4,749f255e72aa49c098f7f6971920ceba,statsEntry,true,true,2026-04-22 16:30:59,2026-04-22 16:30:59,2839,5932,/fysioteamet/stats/749f255e72aa49c098f7f6971920ceba/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
121456,c9a91452-bc27-41ef-84ad-210c4b5547d0,umb://document/c9a91452bc2741ef84ad210c4b5547d0,6bc8b3b554664f14ab11ab28c29dafd0,statsEntry,true,true,2026-04-21 15:57:26,2026-04-21 15:57:26,2839,5931,/fysioteamet/stats/6bc8b3b554664f14ab11ab28c29dafd0/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
121448,094235cb-cef8-47ed-b53a-475ef74af130,umb://document/094235cbcef847edb53a475ef74af130,a777d624ea8e47228f8023f83c026989,statsEntry,true,true,2026-04-21 09:28:49,2026-04-21 09:28:49,2839,5930,/fysioteamet/stats/a777d624ea8e47228f8023f83c026989/,1,umb://document/0acc5ef9315c4004ad642c259360d882,
121445,e79263fd-9937-40f7-91a2-d5a389d490e6,umb://document/e79263fd993740f791a2d5a389d490e6,15c5cbc56f224ff39665e545f075ad6e,statsEntry,true,true,2026-04-21 09:24:13,2026-04-21 09:24:13,2839,5929,/fysioteamet/stats/15c5cbc56f224ff39665e545f075ad6e/,1,umb://document/e92c2feb91dc48a5959e805a4b35d1da,
121438,235996f1-a787-4b7a-9c07-2ed16347b7f5,umb://document/235996f1a7874b7a9c072ed16347b7f5,c85b774fa2d9418fb3925fb077210936,statsEntry,true,true,2026-04-21 07:40:25,2026-04-21 07:40:25,2839,5928,/fysioteamet/stats/c85b774fa2d9418fb3925fb077210936/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
121437,3f28b794-5022-4274-b39d-756b91ab1dc0,umb://document/3f28b79450224274b39d756b91ab1dc0,c0ab9e35273e4e61bd480e4c39475b0c,statsEntry,true,true,2026-04-21 07:39:41,2026-04-21 07:39:41,2839,5927,/fysioteamet/stats/c0ab9e35273e4e61bd480e4c39475b0c/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
121436,6336f75b-9b4b-4068-81a5-8115af0f1c65,umb://document/6336f75b9b4b406881a58115af0f1c65,94b88d6669ae44a1a2a1383428318ba5,statsEntry,true,true,2026-04-21 07:35:31,2026-04-21 07:35:31,2839,5926,/fysioteamet/stats/94b88d6669ae44a1a2a1383428318ba5/,1,umb://document/c4156df210cf48d394a3f0b2244aa381,
