id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
109583,022b685d-fc68-4380-8084-fd463af04bbc,umb://document/022b685dfc6843808084fd463af04bbc,e49cc8a4dd9b4db1ae94e8624d238fd9,statsEntry,true,true,2025-05-15 18:46:14,2025-05-15 18:46:14,42484,9,,0,umb://document/ac0b2b532c8b4844ac8263c73491aabe,
108890,f9a08764-26fb-4580-9f31-bf001e7f1e54,umb://document/f9a0876426fb45809f31bf001e7f1e54,f856649c7d2044ecb9f29b51424d5f0c,statsEntry,true,true,2025-04-27 21:35:43,2025-04-27 21:35:43,42484,8,,0,umb://document/033f1cd4e29c48cc94c95869904de021,
105463,05f81d83-6126-4223-96b0-094e8001460a,umb://document/05f81d836126422396b0094e8001460a,7b151a1deb5340bda2145caedf88153b,statsEntry,true,true,2025-01-31 14:41:52,2025-01-31 14:41:52,42484,7,,0,umb://document/ac0b2b532c8b4844ac8263c73491aabe,
100173,48069473-838c-4c6c-94a2-33267d71928f,umb://document/48069473838c4c6c94a233267d71928f,8ebeedc2167d4bc883972b64e5d3436b,statsEntry,true,true,2024-09-03 03:05:04,2024-09-03 03:05:04,42484,6,,0,umb://document/ac0b2b532c8b4844ac8263c73491aabe,
92474,b0e198c1-bbea-4bcb-849f-47b13d269509,umb://document/b0e198c1bbea4bcb849f47b13d269509,197a7bfaaf404ac899782721a855691d,statsEntry,true,true,2023-11-19 15:49:00,2023-11-19 15:49:00,42484,5,,0,umb://document/ac0b2b532c8b4844ac8263c73491aabe,
67109,04be8cf7-dc0c-4854-ba12-9076685af000,umb://document/04be8cf7dc0c4854ba129076685af000,5fb1452b7b14492299ef6466311ec4f1,statsEntry,true,true,2022-06-27 01:01:04,2022-06-27 01:01:04,42484,4,,0,umb://document/ac0b2b532c8b4844ac8263c73491aabe,
63898,d0079a8c-0096-4f2a-bebb-35ca4681597a,umb://document/d0079a8c00964f2abebb35ca4681597a,0f07bb05997c48e1969989cf053be541,statsEntry,true,true,2022-04-26 00:48:35,2022-04-26 00:48:35,42484,3,,0,umb://document/033f1cd4e29c48cc94c95869904de021,
63417,214c92f8-83e4-40c4-a60c-693a806bfba0,umb://document/214c92f883e440c4a60c693a806bfba0,796675c5bb9148f285fa0622529d476d,statsEntry,true,true,2022-04-10 23:21:49,2022-04-10 23:21:49,42484,2,,0,umb://document/033f1cd4e29c48cc94c95869904de021,
46820,1bbc794b-3cc8-4922-82c7-46d016923441,umb://document/1bbc794b3cc8492282c746d016923441,9301091d96cb488d93d30fc3c4a8a23b,statsEntry,true,true,2021-06-05 09:04:18,2021-06-05 09:04:18,42484,1,,0,umb://document/033f1cd4e29c48cc94c95869904de021,
46817,b72c2447-6605-483b-b894-f9d66b391fd7,umb://document/b72c24476605483bb894f9d66b391fd7,24820eb7a704407c8682dc8e520cab60,statsEntry,true,true,2021-06-05 08:57:02,2021-06-05 08:57:02,42484,0,,0,umb://document/ac0b2b532c8b4844ac8263c73491aabe,
