id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,orderID,title,access,badge,code,description,expandedDescription,hidden,hideDownload,hidePlay,length,metaDescription,metaTitle,openWebContentFromList,openWebContentInNewWindows,production,productionLink,productLink,purchasePrice,rawFile,rentalPrice,siteMapOption,tags,thumbnail,trailer,type,videoDownloadURL,videoID,videoSize,videoStatus,videoThumbnailURL,webContentURL,year
43655,6b17e217-2303-44c8-a877-fee78931093c,umb://document/6b17e217230344c8a877fee78931093c,Velkommen til online kurser i Kammas Kantine,media,true,true,2021-04-21 19:57:55,2021-04-21 20:06:14,43019,11,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/velkommen-til-online-kurser-i-kammas-kantine/,0,Velkommen til online kurser i Kammas Kantine,57,,,"Velkommen til online kurser i Kammas Kantine.

Online kurser i Kammas Kantine er til dig, der gerne vil lære at få krammet på din krop med fuld fokus på viden, sundhed og fantastiske retter - der er enkle at lave i dit eget køkken. 

Det er også online kurser til dig, som elsker ny viden, men foretrækker at få den leveret, når det passer dig og din hverdag. Det er kurser til dig, der sætter pris på video af høj kvalitet, energi og vel fortalte historier.",,0,0,0,5,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3275/kamma-ka-lgriner.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/536279838,2021
43020,dc738354-1930-4eb9-a57b-63dd063a8c9b,umb://document/dc73835419304eb9a57b63dd063a8c9b,"Kål krammer din krop - grøntsagernes superhelt, 9 min.",media,true,true,2021-04-15 15:22:34,2021-04-21 19:59:17,43019,0,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/kaal-krammer-din-krop-groentsagernes-superhelt-9-min/,1,"Kål krammer din krop - grøntsagernes superhelt, 9 min.",57,,,"Kål er en superhelt i grøntsagsverdenen! Den kan både stabilisere dit blodsukker og forebygge kræft, type 2 diabetes og hjertekarsygdomme - og så smager kål hulens godt.",,0,0,0,9,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3203/ka-l-krammer-din-krop00_00_43_11still002.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/536273373,2021
43029,bf0bad67-889a-46b1-9b9b-89f9c4b44136,umb://document/bf0bad67889a46b19b9b89f9c4b44136,"Den rå kål - Kammas blomkåls-tabouleh, 12 min.",media,true,true,2021-04-15 15:46:54,2021-04-21 19:59:17,43019,1,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/den-raa-kaal-kammas-blomkaals-tabouleh-12-min/,2,"Den rå kål - Kammas blomkåls-tabouleh, 12 min.",57,ANMELDERUDGAVE,,"Blomkåls-tabouleh kan laves i et væld af variationer - her laver Kamma en super festlig og meget velsmagende udgave. God til fest og buffeter…, og festlige hverdage.",,0,0,0,12,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3204/den-ra-ka-l00_01_14_20still001.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/535176195,2021
43157,348af569-6e66-4fbc-ac1d-1ea36a229cba,umb://document/348af5696e664fbcac1d1ea36a229cba,"Kål & kød - Aromatisk asiatisk suppe med kødboller, 13 min.",media,true,true,2021-04-16 12:38:32,2021-04-21 19:59:18,43019,2,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/kaal-koed-aromatisk-asiatisk-suppe-med-koedboller-13-min/,3,"Kål & kød - Aromatisk asiatisk suppe med kødboller, 13 min.",57,ANMELDERUDGAVE,,En skøn varmende aromatisk suppe stoppet med vitaminer - god både sommer og vinter.,,0,0,0,13,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3210/ka-lkoed-00_01_15_16still001.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/536276142,2021
43158,d5e5a5c3-7257-4a76-85fa-d7a09eb32c6c,umb://document/d5e5a5c372574a7685fad7a09eb32c6c,"Den cremede kål - Kammas blomkålspuré med rosmarinsmør, 6 min.",media,true,true,2021-04-16 12:47:38,2021-04-21 19:59:18,43019,3,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/den-cremede-kaal-kammas-blomkaalspuré-med-rosmarinsmoer-6-min/,4,"Den cremede kål - Kammas blomkålspuré med rosmarinsmør, 6 min.",57,ANMELDERUDGAVE,,Blomkål er fantastisk velegnet til at lave lækker puré af - her med det lækreste brunede smør.,,0,0,0,6,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3211/cremede-ka-l.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/534949040,2021
43159,8f3785cd-8802-418d-bbad-94af0f2007a0,umb://document/8f3785cd8802418dbbad94af0f2007a0,"Kammas kål leksikon - kål gennem tiden, 4 min.",media,true,true,2021-04-16 12:58:30,2021-04-21 19:59:19,43019,4,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/kammas-kaal-leksikon-ka-l-gennem-tiden-4-min/,5,"Kammas kål leksikon - kål gennem tiden, 4 min.",57,,,"Sulevælling - det lyder umiddelbart ikke vanvittig lækkert, men det var en ret, som ofte kom bordet i danske hjem for flere hundrede år siden. Vi har nemlig spist kål rigtig længe - heldigvis!",,0,0,0,4,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3212/kamma-grin-med-ka-l.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/535062681,2021
43162,d30ff176-216d-47ee-961d-d821695e4778,umb://document/d30ff176216d47ee961dd821695e4778,"Den stegte kål - Kammas stegte spidskål med æble, bacon og karry, 11 min.",media,true,true,2021-04-16 13:01:44,2021-04-21 19:59:19,43019,5,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/den-stegte-kaal-kammas-stegte-spidskaal-med-aeble-bacon-og-karry-11-min/,6,"Den stegte kål - Kammas stegte spidskål med æble, bacon og karry, 11 min.",57,ANMELDERUDGAVE,,Stegt kål kan noget særligt - det er meget lækkert og kan bruges som tilbehør til et væld af retter - eller som skøn enkel ret i sig selv.,,0,0,0,11,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3213/den-stegte-ka-l00_01_42_16still004.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/534937876,2021
43163,066147b9-3417-4188-b3ba-0006eaf42e59,umb://document/066147b934174188b3ba0006eaf42e59,"Den bagte kål - Kammas bagte kål med ost og fløde, 10 min.",media,true,true,2021-04-16 13:04:54,2021-04-21 19:59:20,43019,6,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/den-bagte-kaal-kammas-bagte-kaal-med-ost-og-floede-10-min/,7,"Den bagte kål - Kammas bagte kål med ost og fløde, 10 min.",57,ANMELDERUDGAVE,,"Grønkål er en kåltype, som virkelig egner sig godt til tilberedning i ovnen. Her får kålens supernova skønt cremet selskab.",,0,0,0,10,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3214/den-bagte-ka-l00_07_51_17still001.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/536267844,2021
43164,11f3dfa8-d96a-4f22-9572-abe9ba264f5e,umb://document/11f3dfa8d96a4f229572abe9ba264f5e,"Kammas hacks med kål, 8 min.",media,true,true,2021-04-16 13:06:33,2021-04-21 19:59:20,43019,7,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/kammas-hacks-med-kaal-8-min/,8,"Kammas hacks med kål, 8 min.",57,ANMELDERUDGAVE,,"Tid til mad er ofte en mangelvare - her viser Kamma, hvordan du med enkel, sjov planlægning og få redskaber kan gøre det meget nemmere at få kål på bordet hver eneste dag…, eller i hvert fald ofte.",,0,0,0,8,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,,,,,/media/3215/ka-l-hacks-sug.png,https://vimeo.com/530774010,264,,,,,,https://vimeo.com/536270871,2021
43178,0e4071ac-d200-4540-9c37-4dc850d0b3c0,umb://document/0e4071acd20045409c374dc850d0b3c0,Kram din krop med kål - OPSKRIFTERNE,media,true,true,2021-04-16 13:44:11,2021-04-21 19:59:21,43019,8,/kammas-kantine/anmelder-udgave-efter-aftale-med-kammas-kantine/kram-din-krop-med-kaal-opskrifterne/,9,Kram din krop med kål - OPSKRIFTERNE,57,OPSKRIFTER,,"Her er opskrifterne til de retter, du kan se i onlinekurset Kram din krop med kål.

Alle opskrifter er beregnet til fire personer.

God fornøjelse.

Og følg med og få mere indhold på:    
Instagram: #kammaskantine
Facebook: @kammaskantine

DBH Kamma",,0,0,0,0,,,0,0,Kronborg Kommunikation,https://kronborgkommunikation.dk/,,,/media/3228/opskrifterne-pdf.pdf,,,,/media/3229/kammas-online-kursus.png,https://vimeo.com/530774010,75,,,,,,,2021
