id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
122796,f20c7d61-30c4-45a7-9ba2-e234efcfc511,umb://document/f20c7d6130c445a79ba2e234efcfc511,b2339dc260d340a3b9cad01a3cf64d3f,statsEntry,true,true,2026-04-30 13:43:33,2026-04-30 13:43:33,41629,725,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
118675,85b10cfe-becb-49b4-98b9-aee6a81cf247,umb://document/85b10cfebecb49b498b9aee6a81cf247,8bbcf19878aa42c2ae04a07d5a79ef1d,statsEntry,true,true,2026-02-13 15:18:46,2026-02-13 15:18:46,41629,724,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
114784,82be8968-848c-4ca5-93c2-68ab1c2cda03,umb://document/82be8968848c4ca593c268ab1c2cda03,d5c2fc3f42764d6880fd3a2ab6dc8b7d,statsEntry,true,true,2025-10-28 13:18:18,2025-10-28 13:18:18,41629,723,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
114172,3d430493-1018-42db-b770-63a1369c1764,umb://document/3d430493101842dbb77063a1369c1764,cd962ddbffab4e1db1b294feafe5f8f4,statsEntry,true,true,2025-10-17 08:39:00,2025-10-17 08:39:00,41629,722,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
113390,2fadb6aa-7631-42d0-b478-13c67a7e0336,umb://document/2fadb6aa763142d0b47813c67a7e0336,ab133f51921c4badaa4b77d8f6b29009,statsEntry,true,true,2025-09-29 19:45:05,2025-09-29 19:45:05,41629,721,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
111594,8d0d07f0-3154-4ab6-8630-5d7658dcdd0d,umb://document/8d0d07f031544ab686305d7658dcdd0d,cf3b33653b3d4a2b9a25f23852b0ad1e,statsEntry,true,true,2025-08-06 11:17:20,2025-08-06 11:17:20,41629,720,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
110645,e2472b2f-e04d-4544-b561-b140c2d6573e,umb://document/e2472b2fe04d4544b561b140c2d6573e,8d4fd87e4e344619beeca7d2ec95966f,statsEntry,true,true,2025-06-18 08:25:07,2025-06-18 08:25:07,41629,719,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
110640,509228c6-e63a-43a3-9631-1a261f6b3b10,umb://document/509228c6e63a43a396311a261f6b3b10,e0fafae7761c4620a634703c2bbccf95,statsEntry,true,true,2025-06-17 17:31:57,2025-06-17 17:31:57,41629,718,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
107099,1f42396b-b603-48a7-991e-336f985ac764,umb://document/1f42396bb60348a7991e336f985ac764,068646db7fb249cd868bf9dea89e2fa0,statsEntry,true,true,2025-03-11 22:37:02,2025-03-11 22:37:02,41629,717,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
106071,4b6f68ac-867f-46f9-bc29-d9d55559e9c6,umb://document/4b6f68ac867f46f9bc29d9d55559e9c6,867453e9c31c4ec493be0277a90fe43e,statsEntry,true,true,2025-02-18 17:09:00,2025-02-18 17:09:00,41629,716,,1,umb://document/7f12ddbfa355453eba585ed34aa19b12,
