id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
118279,be3c40e5-7d07-4686-bb4f-b131375dc9e4,umb://document/be3c40e57d074686bb4fb131375dc9e4,40832c90bca1424fbd1a72633305d24c,statsEntry,true,true,2026-02-05 19:41:46,2026-02-05 19:41:46,2821,34,/lindhardt-as/stats/40832c90bca1424fbd1a72633305d24c/,1,umb://document/fce713b47df046c79c7bcfef1aabd09d,
22133,5e286f89-2b95-480e-ba69-faf2a26930ae,umb://document/5e286f892b95480eba69faf2a26930ae,161b0d099fd345bfba4062d35327676b,statsEntry,true,true,2020-11-11 08:56:59,2020-11-11 08:56:59,2821,33,/lindhardt-as/stats/161b0d099fd345bfba4062d35327676b/,1,umb://document/fce713b47df046c79c7bcfef1aabd09d,
22132,b82f76c3-6a2c-45fa-ab1e-341850ad8f5e,umb://document/b82f76c36a2c45faab1e341850ad8f5e,d6b6581caf954b3cb5dcb1535b62cae7,statsEntry,true,true,2020-11-11 08:56:45,2020-11-11 08:56:45,2821,32,/lindhardt-as/stats/d6b6581caf954b3cb5dcb1535b62cae7/,1,umb://document/fce713b47df046c79c7bcfef1aabd09d,
20374,a52a3d65-8827-4e36-b589-b8c8e06b825a,umb://document/a52a3d6588274e36b589b8c8e06b825a,e3e6b7c79fdf42c2899428dfb4c670e0,statsEntry,true,true,2020-10-04 10:32:33,2020-10-04 10:32:33,2821,31,/lindhardt-as/stats/e3e6b7c79fdf42c2899428dfb4c670e0/,1,umb://document/03ed7c95eb1948538c31573af38202e2,
20306,8c1f8e36-5b8f-411e-8d7a-c8311d13d425,umb://document/8c1f8e365b8f411e8d7ac8311d13d425,eb3feda5e6e546aeb261328ffdfda99b,statsEntry,true,true,2020-10-01 15:02:47,2020-10-01 15:02:47,2821,30,/lindhardt-as/stats/eb3feda5e6e546aeb261328ffdfda99b/,1,umb://document/03ed7c95eb1948538c31573af38202e2,
20218,b624660a-27d6-4da1-8b09-8c15a65cead3,umb://document/b624660a27d64da18b098c15a65cead3,e9119b98788444f0b1f3d2cf62e7fdf7,statsEntry,true,true,2020-09-29 13:11:39,2020-09-29 13:11:39,2821,29,/lindhardt-as/stats/e9119b98788444f0b1f3d2cf62e7fdf7/,1,umb://document/03ed7c95eb1948538c31573af38202e2,
19990,16286517-ed3d-4d36-aaf5-e76e95f8b970,umb://document/16286517ed3d4d36aaf5e76e95f8b970,119195b97e6c471ebf2903c6369ba8f2,statsEntry,true,true,2020-09-22 12:28:28,2020-09-22 12:28:28,2821,28,/lindhardt-as/stats/119195b97e6c471ebf2903c6369ba8f2/,1,umb://document/fce713b47df046c79c7bcfef1aabd09d,
19989,21a7ac99-875a-4f8e-9392-31c8d562abe8,umb://document/21a7ac99875a4f8e939231c8d562abe8,cd287784669645cab0025a043576f123,statsEntry,true,true,2020-09-22 12:28:15,2020-09-22 12:28:15,2821,27,/lindhardt-as/stats/cd287784669645cab0025a043576f123/,1,umb://document/03ed7c95eb1948538c31573af38202e2,
19988,f89f8f4f-e836-43f2-9975-4ed211e541fa,umb://document/f89f8f4fe83643f299754ed211e541fa,76d4962fdbfa48a091c91cf4d3335f19,statsEntry,true,true,2020-09-22 12:25:43,2020-09-22 12:25:43,2821,26,/lindhardt-as/stats/76d4962fdbfa48a091c91cf4d3335f19/,1,umb://document/03ed7c95eb1948538c31573af38202e2,
19987,2f53910c-19b4-4704-a231-8f2b5fae7652,umb://document/2f53910c19b44704a2318f2b5fae7652,d999fb62313846038434773a5f7320e4,statsEntry,true,true,2020-09-22 12:25:37,2020-09-22 12:25:37,2821,25,/lindhardt-as/stats/d999fb62313846038434773a5f7320e4/,1,umb://document/03ed7c95eb1948538c31573af38202e2,
