id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
122794,d1fbccb7-46ac-4ed7-ae21-9ffefd83785a,umb://document/d1fbccb746ac4ed7ae219ffefd83785a,2c89c7ca4bd44781820f9ebe982d7d18,statsEntry,true,true,2026-04-30 13:40:33,2026-04-30 13:40:33,11655,179,,1,umb://document/ddcfcfac21cd415fb31801c78d1a1928,
122793,a19ff364-988c-4af6-a44c-44066cd64e7f,umb://document/a19ff364988c4af6a44c44066cd64e7f,5c3c1a62a1b74413a8ba046583fa4aa9,statsEntry,true,true,2026-04-30 13:40:29,2026-04-30 13:40:29,11655,178,,1,umb://document/ddcfcfac21cd415fb31801c78d1a1928,
122792,68aeb1f2-1aff-44f6-a19f-997ec86a7a14,umb://document/68aeb1f21aff44f6a19f997ec86a7a14,21007618c9534c2fa63c7aef32e1c1eb,statsEntry,true,true,2026-04-30 13:39:37,2026-04-30 13:39:37,11655,177,,1,umb://document/cda1c15d725e4bcd900907e186a7b00f,
117728,cdd90675-32a6-4a24-a632-f73c996cc0a5,umb://document/cdd9067532a64a24a632f73c996cc0a5,6cae60f9d0a64cf088226da02c8a87dd,statsEntry,true,true,2026-01-19 17:10:30,2026-01-19 17:10:30,11655,176,,1,umb://document/cda1c15d725e4bcd900907e186a7b00f,
114782,ec4ac195-53c2-4cca-8770-474cd5ec38dc,umb://document/ec4ac19553c24cca8770474cd5ec38dc,111c030820b84ea09d64e2f227fa2118,statsEntry,true,true,2025-10-28 11:24:58,2025-10-28 11:24:58,11655,175,,1,umb://document/cda1c15d725e4bcd900907e186a7b00f,
112187,6f344146-46a4-4338-9e35-a6e684d6083c,umb://document/6f34414646a443389e35a6e684d6083c,9b0515b820cf426388e9774d232cfa0e,statsEntry,true,true,2025-09-03 01:48:59,2025-09-03 01:48:59,11655,174,,1,umb://document/cda1c15d725e4bcd900907e186a7b00f,
110071,b89eb91e-c137-451a-b5dc-437e521ca8fb,umb://document/b89eb91ec137451ab5dc437e521ca8fb,bb5626a14bda46e8aff64e578b959fa7,statsEntry,true,true,2025-05-31 10:41:39,2025-05-31 10:41:39,11655,173,,1,umb://document/ddcfcfac21cd415fb31801c78d1a1928,
109932,304c4785-b4e2-4c10-b09a-12a2472c9a3a,umb://document/304c4785b4e24c10b09a12a2472c9a3a,515d394d592b48de88d02b88bdd3921a,statsEntry,true,true,2025-05-24 14:23:06,2025-05-24 14:23:06,11655,172,,1,umb://document/72c8fe7c450840ca8e3c529fb3c27ef3,
108566,78d11235-787b-467c-9f9f-a916c42158d7,umb://document/78d11235787b467c9f9fa916c42158d7,de7ec41304dc4fbdbc74d652ee353517,statsEntry,true,true,2025-04-16 09:39:03,2025-04-16 09:39:03,11655,171,,1,umb://document/cda1c15d725e4bcd900907e186a7b00f,
105856,b1c4456f-8fc1-4830-b94e-eef1420e620f,umb://document/b1c4456f8fc14830b94eeef1420e620f,f7b4012ae48b48a983040e248e75d155,statsEntry,true,true,2025-02-12 18:45:37,2025-02-12 18:45:37,11655,170,,1,umb://document/cda1c15d725e4bcd900907e186a7b00f,
105384,b8bb0966-36bb-432d-84ce-a862590178d0,umb://document/b8bb096636bb432d84cea862590178d0,959defb5a6fc41b2adc41192439e48ae,statsEntry,true,true,2025-01-29 12:14:15,2025-01-29 12:14:15,11655,169,,1,umb://document/1126118348c24a9c9d8ee385df64dd9e,
105092,8afd8f4b-41d7-41ea-a9cf-0ea615987596,umb://document/8afd8f4b41d741eaa9cf0ea615987596,b997cc1389a840178acf56c75f1d2e92,statsEntry,true,true,2025-01-21 12:21:30,2025-01-21 12:21:30,11655,168,,1,umb://document/cda1c15d725e4bcd900907e186a7b00f,
104015,e52a3beb-db50-476f-8203-ffec32582357,umb://document/e52a3bebdb50476f8203ffec32582357,2003291a649646f399e1a4c299b66aec,statsEntry,true,true,2024-12-27 18:53:34,2024-12-27 18:53:34,11655,167,,1,umb://document/cda1c15d725e4bcd900907e186a7b00f,
104006,b6ebee20-50cd-44fd-8763-65b8e2276336,umb://document/b6ebee2050cd44fd876365b8e2276336,0cac324d67914f1ab060ba8e49147eb9,statsEntry,true,true,2024-12-27 14:33:37,2024-12-27 14:33:37,11655,166,,1,umb://document/72c8fe7c450840ca8e3c529fb3c27ef3,
103625,3131dbcd-758d-4725-b6ed-114ce7981885,umb://document/3131dbcd758d4725b6ed114ce7981885,ccb0a63cc64f454a991fe178d40d6098,statsEntry,true,true,2024-12-12 12:07:57,2024-12-12 12:07:57,11655,165,,0,umb://document/b1c0e082126547229a834fca2cb57005,
