id,key,udi,name,title,orderID,hidden,published,hasPublishedVersion,createDate,updateDate,urls,statsEntryCount,statsPlayCount,statsNonPlayCount,firstStatAt,lastStatAt,videoID,videoStatus,videoThumbnailURL,videoDownloadURL,thumbnail,year,length,rentalPrice,purchasePrice,tags,description
47126,0c8cc676-70f7-499e-9fda-eec9d0cf24bb,umb://document/0c8cc67670f7499e9fdaeec9d0cf24bb,Comedy Aid 2010,Comedy Aid 2010,0,false,true,true,2021-06-12 10:18:51,2022-03-08 22:39:13,/red-barnet/shows/comedy-aid-2010/,20,4,16,2022-05-18 19:59:13,2026-05-08 13:17:48,b4457f947aa9620c85dde952caafae25,ready,https://videodelivery.net/b4457f947aa9620c85dde952caafae25/thumbnails/thumbnail.jpg,https://videodelivery.net/b4457f947aa9620c85dde952caafae25/downloads/default.mp4,/media/3527/comedyaid2010_packshot.jpg,2010,159,39,39,"ComedyAid,Stand-up,Comedy","Danmarks mest populære stand-up-komikere på scenen i et velgørenhedsshow til fordel for Kræftens Bekæmpelses arbejde med og for børn og unge og kræft.

Værterne er de to stand-up komikere Jacob Wilson og Simon Talbot.

Komikere: Anders Fjelsted, Brian Mørk, Carsten Bang, Carsten Eskelund, Christian Fuhlendorff, Dan Andersen, Elias Ehlers, GEO, Jacob Tingleff, Jesper Juhl, Jonatan Spang,, Lasse Rimmer, Martin Høgsted, Michael Schøt, Mikael Wulff, Omar Marzouk , Thomas Hartmann, Thomas Warberg
og Thomas Wivel.
Kapelmester: 
DJ NOIZE
Alle har de stillet sig frivilligt til rådighed i den gode sags tjeneste."
46938,a50d68b7-057a-46fa-9815-a5085129f3ab,umb://document/a50d68b7057a46fa9815a5085129f3ab,Comedy Aid 2011,Comedy Aid 2011,1,false,true,true,2021-06-07 18:34:10,2022-03-08 22:39:00,/red-barnet/shows/comedy-aid-2011/,19,0,19,2021-10-23 17:57:42,2026-05-08 14:26:55,e2dc08e567a306a5c8962262aace6b4b,ready,https://videodelivery.net/e2dc08e567a306a5c8962262aace6b4b/thumbnails/thumbnail.jpg,https://videodelivery.net/e2dc08e567a306a5c8962262aace6b4b/downloads/default.mp4,/media/3518/aid-2011.png,2011,158,39,39,"Comedy Aid,Comedy,Stand-up","Årets værter bliver Carsten Bang og Geo, der i løbet af showet præsenterer en stribe af tidens store komikere på scenen. Carsten Bang og Geo kendes fra en lang række stand-up og tv-sammenhænge. Carsten Bang medvirker blandt andet i TV2 Zulus underholdningssucces ”Vild med Comedy” ligesom han op til Comedy Aid kan opleves rundt i landet i sit nye one man show ”Plukker kameler”. Geo har inden for de seneste år blandt andet kunnet opleves i TV2 Zulus serier ”Hvor fanden er Herning”, ”Zulu Gumball”, ”Tung Metal”, ”Stand-up.dk, sæson 7” og kan flere morgener om ugen opleves som vært på Radio ANR."
47117,b9879251-000d-4285-830b-4278dc355080,umb://document/b9879251000d4285830b4278dc355080,Comedy Aid 2013,Comedy Aid 2013,2,false,true,true,2021-06-11 14:14:51,2022-03-08 22:39:07,/red-barnet/shows/comedy-aid-2013/,16,0,16,2021-10-09 17:38:43,2026-05-13 10:43:36,d3ed39ffcdfe85369be4ff2369e7b4fe,ready,https://videodelivery.net/d3ed39ffcdfe85369be4ff2369e7b4fe/thumbnails/thumbnail.jpg,https://videodelivery.net/d3ed39ffcdfe85369be4ff2369e7b4fe/downloads/default.mp4,/media/3521/400x600.jpg,2013,220,39,39,"ComedyAid,Comedy,Stand-up","Anders Fjelsted, Brian Mørk, Carsten Eskelund, Dan Andersen, Elias Ehlers, GEO, Jacob Wilson, Lasse Rimmer, Martin Høgsted, Michael Schøt, Nikolaj Stokholm, Ruben Søltoft, Simon Talbot, Thomas Hartmann, Thomas Wivel og Torben Chris.

Årets to værter er Carsten Bang og Christian Fuhlendorff og kapelmester er endnu engang DJ Noize.

FBI proudly presents: Comedy Aid 2013, det årligt tilbagevendende comedy maraton, der løber af stablen mellem jul og nytår. Igen i 2013 kunne comedyglade danskere støtte et godt formål og opleve nogle af Danmarks allerbedste komikere ved et storslået show. Fælles for alle komikerne er, at de stiller op gratis. Overskuddet fra Comedy Aid går til velgørenhed. I år indledes der nyt samarbejde med Red Barnet.
Red Barnet arbejder for at sikre børns rettigheder i Danmark og i resten af verden. Pengene fra årets Comedy Aid går blandt andet til arbejdet for de børn, der kommer fra misbrugsramte familier blandt andet ved hjælp af oplysningskampagner og indsatser for at bryde tabuet omkring dette emne; og at årets show hedder ""Speak Up"" er ingen tilfældighed.

Showet er optaget i Falconer salen, København december 2013"
47123,ea74c706-b241-4a4d-88a0-d4f989224b4a,umb://document/ea74c706b2414a4d88a0d4f989224b4a,Comedy Aid 2014,Comedy Aid 2014,3,false,true,true,2021-06-12 09:05:22,2022-03-08 22:39:11,/red-barnet/shows/comedy-aid-2014/,29,0,29,2021-12-11 17:32:56,2026-05-13 10:48:32,ed05a407dbc00b77bb11c938f61b94e8,ready,https://videodelivery.net/ed05a407dbc00b77bb11c938f61b94e8/thumbnails/thumbnail.jpg,https://videodelivery.net/ed05a407dbc00b77bb11c938f61b94e8/downloads/default.mp4,/media/3525/ca_poster_2014.jpg,2014,210,39,39,"ComedyAid,Comedy,Stand-up","Glæd dig til det årlige tilbagevendende velgørenheds comedy maraton, hvor alle komikere stiller op gratis.
I 2014 er værterne den evig skarpe Thomas Hartmann og energibomben, Torben Chris. Sammen holder de styr på tropperne og sikrer, at du får et forrygende og ikke mindst sjovt show, i selskab med en perlerække af landets bedste komikere.
Overskuddet fra årets show går til Red Barnet og deres arbejde for børn, der kommer fra misbrugsramte familier. Pengene skal blandt andet bruges til oplysningskampagner og indsatser for at bryde tabuet omkring dette emne og derfor hedder showet Speak Up!
Showet er optaget i Falconer, København. 
Værter:
Thomas Hartmann
Torben Chris

Optrædende komikere:
Alex Thelander, Anders Fjelsted, Brian Mørk, Carsten Bang, Carsten Eskelund, Christian Fuhlendorff, Dan Andersen, Elias Ehlers, Jacob Wilson, Jesper Juhl, Lasse Rimmer, Martin Nørgaard, Michael Schøt, Nikolaj Stokholm, Omar Marzouk, Ruben Søltoft, Simon Talbot, Thomas Buttenschøn, Thomas Wivel og Uffe Holm.
Kapelmester: Dj Noize"
46948,b92c5353-e03b-4bc2-bf98-8317bd9d2199,umb://document/b92c5353e03b4bc2bf988317bd9d2199,Comedy Aid 2015,Comedy Aid 2015,4,false,true,true,2021-06-07 19:16:05,2022-03-08 22:39:03,/red-barnet/shows/comedy-aid-2015/,16,0,16,2022-03-29 01:28:31,2026-01-13 16:57:19,cf19ca580127c1642324a5d2f771d6f1,ready,https://videodelivery.net/cf19ca580127c1642324a5d2f771d6f1/thumbnails/thumbnail.jpg,https://videodelivery.net/cf19ca580127c1642324a5d2f771d6f1/downloads/default.mp4,/media/3519/ca_2015_digiposter_v2.jpg,2015,2,39,39,"ComedyAid,Stand-up,Comedy","Comedy Aid' er kendt som årets sjoveste velgørenhedsshow, for det er spækket med store komikernavne.Værter er Geo og Brian Mørk, der glæder sig til at guide dig gennem to timers forrygende underholdning. De to præsenterer en stjerneparade af kendte komikere, der alle optræder gratis for at samle penge ind til Red Barnet og årets sag  mobning, generelt og i det digitale rum. Komikerne på scenen er udover værterne Adam & Noah, Alex Thelander, Anders Fjelsted, Carsten Bang, Christian Fuhlendorff, Dan Andersen, Elias Ehlers, Jacob Wilson, Martin Nørgaard, Michael Schøt, Nikolaj Stokholm, Omar Marzouk, Simon Talbot, Thomas Hartmann, Thomas Wivel og Torben Chris. Kapelmester er DJ Noize."
47133,127140a5-5799-42ff-877d-bb8a47104a56,umb://document/127140a5579942ff877dbb8a47104a56,Comedy Aid 2016,Comedy Aid 2016,5,false,true,true,2021-06-12 11:10:58,2022-03-08 22:39:15,/red-barnet/shows/comedy-aid-2016/,17,0,17,2022-03-29 02:04:57,2026-01-13 16:57:32,ab5e7089b993d9213f36999efd5af2d8,ready,https://videodelivery.net/ab5e7089b993d9213f36999efd5af2d8/thumbnails/thumbnail.jpg,https://videodelivery.net/ab5e7089b993d9213f36999efd5af2d8/downloads/default.mp4,/media/3529/skaermbillede-2021-06-12-kl-175429.png,2016,222,39,39,"ComedyAid,Stand-up,Comedy","Comedy Aid præsenterer endnu engang en perlerække af landets sjoveste komikere. I år for at samle penge ind til Red Barnet og deres humanitære arbejde for børn på flugt. Årets sjoveste velgørenhedsshow kan i år opleves i Aarhus, Vejle, København og som noget helt særligt på The Comedy Store i London.

Martin Høgsted og Anders Grau, der hver lørdag formiddag kan høres på P3 som værter for programmet 'Selskabet', er også værter for årets Comedy Aid. De bliver det stærkt underholdende element, der skal holde sammen på trådene og præsentere de mange danske komikernavne, der i år har valgt at bruge deres tid mellem jul og nytår - samt en dag i januar - på at optræde gratis til fordel for indsamlingen til Red Barnet. Martin Høgsted har selv optrådt ved fleste af de senere års Comedy Aid-shows mens Anders Grau debuterer i rollen som vært.

Christian Fuhlendorff, Sanne Søndergaard, Thomas Hartmann mfl.
Årets program byder på comedy for enhver smag og appellerer således også til den mangfoldighed, som hvert år samles for at opleve Comedy Aid - fra venner og kærestepar over familier til comedy-veteraner, der har været tilstede siden første show for 24 år siden. Den samlede liste af optrædende lyder som følger: Adam & Noah, Anders Fjelsted, Ane Høgsberg, Brian Mørk, Carsten Bang, Christian Fuhlendorff, Dan Andersen, Elias Ehlers, Jesper Juhl, Jonas Mogensen, Lasse Rimmer, Martin Nørgaard, Michael Schøt, Mikkel Klint Thorius, Mikkel Rask, Omar Marzouk, Thomas Hartmann samt Torben Chris."
47120,ce6e7a26-8c80-48a3-89ad-3447050cc643,umb://document/ce6e7a268c8048a389ad3447050cc643,Comedy AID 2017 - 25 års jubilæum,Comedy AID 2017 - 25 års jubilæum,6,false,true,true,2021-06-11 19:46:19,2022-03-08 22:39:09,/red-barnet/shows/comedy-aid-2017-25-aars-jubilaeum/,14,0,14,2021-12-16 01:25:52,2026-01-13 16:57:44,7c6af7b023c297c79f8c72936d9be4f3,ready,https://videodelivery.net/7c6af7b023c297c79f8c72936d9be4f3/thumbnails/thumbnail.jpg,https://videodelivery.net/7c6af7b023c297c79f8c72936d9be4f3/downloads/default.mp4,/media/3524/comedy-aid-17-_facing_.jpg,2017,204,39,39,"Comedy,Comedy Aid,Stand-up","COMEDY AID/TALEGAVER TIL BØRN FEJRER 25 ÅRS JUBILÆUM​​​​​​​!

FBI PRÆSENTERER STOLT DANMARKS STØRSTE COMEDY VELGØRENHEDS-SHOW TIL FORDEL FOR RED BARNET OG DERES ARBEJDE FOR BØRN PÅ FLUGT. 
I år er et ganske særligt år. Det er nemlig i år 25 år siden, at Lars Hjortshøj fik idéen og sammen med FBI lancerede det, der blev Talegaver til Børn og sidenhen Comedy Aid. Det allerførste show løb af stablen i beskedne rammer på Comedy ZOO i ""Boltens Gård"" København. Det kostede 50 kr. at komme ind - og det samme for at blive lukket ud igen. Alle optrådte gratis og overskuddet gik ubeskåret til velgørenhed. Sådan har det været lige siden, og gennem årene er showet vokset og blevet en fast tradition mellem jul og nytår, for både publikum og komikere, der hvert år stiller op i den gode sags tjeneste.
De 25 år markeres med et kæmpe jubilæumsshow, hvor publikum kan opleve et rekordstort antal komikere på scenen.
Værter: Carsten Bang og Jesper Juhl

Komikere:
Adam & Noah, Carsten Bang, Jesper Juhl, Anders Fjelsted, Anders Grau, Ane Høgsberg, Uffe Holm, Dan Andersen, Elias Ehlers, Jacob Taarnhøj, Jonas Mogensen, Heino Hansen, Michael Schøt, Mikkel Klint Thorius, Simon Talbot, Thomas Hartmann & Thomas Wivel."
46951,8322ba72-ba8b-4d3e-8db8-46c053d20706,umb://document/8322ba72ba8b4d3e8db846c053d20706,Comedy Aid 2018,Comedy Aid 2018,7,false,true,true,2021-06-07 20:18:08,2022-03-08 22:39:05,/red-barnet/shows/comedy-aid-2018/,19,0,19,2021-11-06 00:59:29,2026-01-13 16:57:56,1d5db4cbd0d8472b3f17c76b4e5c63ed,ready,https://videodelivery.net/1d5db4cbd0d8472b3f17c76b4e5c63ed/thumbnails/thumbnail.jpg,https://videodelivery.net/1d5db4cbd0d8472b3f17c76b4e5c63ed/downloads/default.mp4,/media/3520/comedy-aid-2018.png,2018,223,39,39,"ComedyAid,Stand-up,Comedy","For 26. år i træk inviterede landets bedste komikere til velgørenhedsshowet Comedy Aid mellem jul og nytår. Værterne Heino Hansen og Michael Schøt præsenterede ikke færre end 16 komikere, en rapper og en DJ-kapelmester ved årets show. 
Comedy Aid laves af FBI i samarbejde med Red Barnet og overskuddet fra showet går til organisationens humanitære arbejde for børn på flugt og i krigsramte områder. Showet kunne i år opleves i Aarhus Musikhus, Herning MCH Kongrescenter, Tivoli Hotel & Congress Center og i en særudgave på The Comedy Store i London.
2018 blev de nye talenters år. Der var Comedy Aid debut til både DM I Stand-up 2018-vinderen Phillip Devantier, Morten Wichmann, Natasha Brock og ikke mindst Mahamad Habane.

""De er alle fire sindssygt dygtige komikere, og selvom de måske endnu ikke er så kendte i den brede befolkning, så er de stærkt etablerede i stand-up branchen og højt respekterede hos deres mere erfarne kollegaer.""
- Nina Federici, Projektleder på Comedy Aid hos FBI."
47189,9fa622a3-3b07-45ea-ac02-63cdd429dcae,umb://document/9fa622a33b0745eaac0263cdd429dcae,Talegaver Til Børn - 10 Års Jubilæum,Talegaver Til Børn - 10 Års Jubilæum,8,false,true,true,2021-06-13 10:34:04,2022-03-08 22:39:18,/red-barnet/shows/talegaver-til-boern-10-års-jubilaeum/,24,6,18,2021-10-22 22:46:22,2026-01-13 16:58:20,38b07eac3146a67d2f2a4d37cd06531b,ready,https://videodelivery.net/38b07eac3146a67d2f2a4d37cd06531b/thumbnails/thumbnail.jpg,https://videodelivery.net/38b07eac3146a67d2f2a4d37cd06531b/downloads/default.mp4,/media/3531/talegaver_2002_dvd.jpg,2003,209,39,39,"Comedy,Talegaver til børn,Stand-up","En bred vifte af Danmarks bedste stand-up komikere i et forrygende velgørenhedsshow til fordel for UNICEF Danmark og verdens børn. For 10. år i træk samlede UNICEF og FBI (Funny Business Inc.) i december 2002 Danmarks bedste komikere i årets store jubilæumsshow Talegaver til børn - et show som truede med at vælte Tivolis Koncertsal på en af årets sidste dage.
    Oplev Lars Hjortshøj og Lasse Rimmer i rollen som de veloplagte værter, der har fået til opgave at styre 17 af Danmarks forrygende komikere ind og ud af scenen. I et vanvittigt tempo banker pointerne ud over scenekanten, og med grænseoverskridende frækhed spanker komikerne den danske ligegyldighed og middelmådighed, så end ikke DU går fri.
Andre medvirkende : 
Lars Hjortshøj
Lasse Rimmer	
Anders Fjelsted
Omar Marzouk
Anders Matthesen
Rune Klan
Uffe Holm
Sebastian Dorset
Jonatan Spang
Klaus Bondam
Dan Andersen
Povl Carstensen
Carsten Bang	
Mick Øgendahl
Mikael Wulff"
47197,80bf7557-e9fc-4f02-8fb9-0b97fddd65bb,umb://document/80bf7557e9fc4f028fb90b97fddd65bb,Talegaver Til Børn - 15 Års Jubilæum,Talegaver Til Børn - 15 Års Jubilæum,9,false,true,true,2021-06-13 13:13:40,2022-03-08 22:39:19,/red-barnet/shows/talegaver-til-boern-15-års-jubilaeum/,25,8,17,2023-08-11 22:57:56,2026-04-28 12:45:09,b366145c6fdccadc83c034123f17d151,ready,https://videodelivery.net/b366145c6fdccadc83c034123f17d151/thumbnails/thumbnail.jpg,https://videodelivery.net/b366145c6fdccadc83c034123f17d151/downloads/default.mp4,/media/3539/talegaver2.png,2007,158,39,39,"Comedy,Stand-up,Talegaver til børn","Talegaver Til Børn fejrede 15 års jubilæum i december 2007 med tre udsolgte shows i Forum.
FBI's årlige støtte show her lavet i samarbejde med Unicef.
I 15 år har man mellem jul og nytår kunnet grine for den gode sag i selskab med landets bedste stand up komikere, og 2007-showene levede absolut op til de forrige års succes

Medvirkende :
Carsten Bang & Lasse Rimmer
Tobias Dybvad, Povl Carstensen, Christian Fuhlendorff, Sebastian Dorset, Anders Fjelsted, Elias Ehlers, Thomas Hartman, Frank Hvam, Michael Schøt, Thomas Wivel, Jacob Tingleff, Dan Andersen, Brian Mørk, Omar Marzouk og Carsten Eskelund.

Band: Gorm And The Good Vibes"
