id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
117292,4f448a42-86a3-433f-9fe7-9476e2c11855,umb://document/4f448a4286a3433f9fe79476e2c11855,b5b0b6c4e9ae4b688d76f2cad20d28c8,statsEntry,true,true,2026-01-07 21:33:34,2026-01-07 21:33:34,62345,21,,1,umb://document/ef19bb2162914263a77f32679845b66f,
117291,d9ea16b1-fdd1-4e73-8c45-a31e440612a3,umb://document/d9ea16b1fdd14e738c45a31e440612a3,83f75705149641d0a87a9362d1476c71,statsEntry,true,true,2026-01-07 21:33:25,2026-01-07 21:33:25,62345,20,,1,umb://document/587bb9cad2834396b56968a015c1c3af,
103645,8e59c05c-4e0c-4d54-bec2-784ff7cebca6,umb://document/8e59c05c4e0c4d54bec2784ff7cebca6,0f5c8dd232e148578e494f6514d5e2f4,statsEntry,true,true,2024-12-13 08:38:31,2024-12-13 08:38:31,62345,19,,1,umb://document/587bb9cad2834396b56968a015c1c3af,
103644,35657a4b-e36b-4268-884e-93af1966c714,umb://document/35657a4be36b4268884e93af1966c714,b5988e417a41450bbc50421815fd8615,statsEntry,true,true,2024-12-13 08:38:12,2024-12-13 08:38:12,62345,18,,1,umb://document/ef19bb2162914263a77f32679845b66f,
103643,19eb6d7a-a1ca-4585-ba9a-32ec02b00508,umb://document/19eb6d7aa1ca4585ba9a32ec02b00508,bc3f4e4b4034497c99dba74fe28bbbd4,statsEntry,true,true,2024-12-13 08:38:07,2024-12-13 08:38:07,62345,17,,1,umb://document/ef19bb2162914263a77f32679845b66f,
72311,b982e714-4c28-472a-95a9-0785d4dbd225,umb://document/b982e7144c28472a95a90785d4dbd225,eaab4b99d28d4a8289fe0e9a26ec053e,statsEntry,true,true,2022-09-12 18:16:25,2022-09-12 18:16:25,62345,16,,1,umb://document/ef19bb2162914263a77f32679845b66f,
62371,bfe6451d-18a1-474b-9aea-804509b93161,umb://document/bfe6451d18a1474b9aea804509b93161,5c084fbd3c21443aa86959fcb1ef88a3,statsEntry,true,true,2022-03-09 21:54:06,2022-03-09 21:54:06,62345,15,,1,umb://document/601f29975fea4b67a9f49299ed6feb0e,
62370,7c74b838-5d93-4408-bef1-68d3fd828629,umb://document/7c74b8385d934408bef168d3fd828629,ecb82598f3f14a079437cff550ec881b,statsEntry,true,true,2022-03-09 20:54:40,2022-03-09 20:54:40,62345,14,,1,umb://document/601f29975fea4b67a9f49299ed6feb0e,
62366,2cbd4ea8-bbc8-4e66-bad6-fb324d536d2c,umb://document/2cbd4ea8bbc84e66bad6fb324d536d2c,d3b332b07dae42c98964f56fc0773bdd,statsEntry,true,true,2022-03-09 20:49:40,2022-03-09 20:49:40,62345,13,,1,umb://document/601f29975fea4b67a9f49299ed6feb0e,
62365,0b8f175e-ef1d-4cfa-bb21-5ca7d58e2fe8,umb://document/0b8f175eef1d4cfabb215ca7d58e2fe8,3cf4fd4b73c94a71884e0a98423557f0,statsEntry,true,true,2022-03-09 20:49:05,2022-03-09 20:49:05,62345,12,,1,umb://document/601f29975fea4b67a9f49299ed6feb0e,
