id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,parentId,sortOrder,urls,isPlay,media,uID
79954,cf245ecf-46dd-4b53-b5a4-6c0ca9762909,umb://document/cf245ecf46dd4b53b5a46c0ca9762909,86e9b7698b9c45c287d546632b4d681c,statsEntry,true,true,2023-04-07 13:38:36,2023-04-07 13:38:36,41819,17,,0,umb://document/2f39d81e1d374e42bb390a97ffaee7fc,
42104,d1a08a73-7432-4f16-90ce-e4897a7bff1d,umb://document/d1a08a7374324f1690cee4897a7bff1d,9328d00f86fe4792b3e61ae8eebc0f87,statsEntry,true,true,2021-04-04 20:31:53,2021-04-04 20:31:53,41819,16,,0,umb://document/2f39d81e1d374e42bb390a97ffaee7fc,
42101,6f2bed50-1c25-486f-88eb-5f70aef71edd,umb://document/6f2bed501c25486f88eb5f70aef71edd,60c613b585e145499a34f2040e45d4ec,statsEntry,true,true,2021-04-04 20:28:56,2021-04-04 20:28:56,41819,15,,0,umb://document/2f39d81e1d374e42bb390a97ffaee7fc,
42085,f8ce0703-9d09-4b7d-9220-53800cbfa0e1,umb://document/f8ce07039d094b7d922053800cbfa0e1,af5b94cedf234953a53fc9f8a25220b7,statsEntry,true,true,2021-04-04 19:13:19,2021-04-04 19:13:19,41819,14,,0,umb://document/2f39d81e1d374e42bb390a97ffaee7fc,
42049,0c1c72b0-b3f5-4371-8625-8c3a80c51428,umb://document/0c1c72b0b3f5437186258c3a80c51428,b972479a6a4d4e59b6467300def5096f,statsEntry,true,true,2021-04-04 09:30:39,2021-04-04 09:30:39,41819,13,,0,umb://document/f2c6825078f44cd9aaa9497cb8e88b1a,
42036,bfaf8ba4-987c-4a65-ba18-76307ee99db4,umb://document/bfaf8ba4987c4a65ba1876307ee99db4,b9b09d73144c47af8aa0a3c8691228f5,statsEntry,true,true,2021-04-04 08:49:57,2021-04-04 08:49:57,41819,12,,0,umb://document/f2c6825078f44cd9aaa9497cb8e88b1a,
42023,8c273a87-146a-4fe9-abf4-75efadc7ea0c,umb://document/8c273a87146a4fe9abf475efadc7ea0c,d4445d56ea894991b006fc9f5ac17b37,statsEntry,true,true,2021-04-03 21:47:14,2021-04-03 21:47:14,41819,11,,0,umb://document/9bb8710d488b4908ad378c8babc6d75f,
42014,3ca04e0e-17d1-478b-9a2e-b600744b34de,umb://document/3ca04e0e17d1478b9a2eb600744b34de,6e4cbc54f65546b0b533b306faf3e85b,statsEntry,true,true,2021-04-03 18:28:30,2021-04-03 18:28:30,41819,10,,0,umb://document/9bb8710d488b4908ad378c8babc6d75f,
42010,cad2de7e-8557-444c-8316-ad40e57f724b,umb://document/cad2de7e8557444c8316ad40e57f724b,0a5e8cb94fd74ad8b853e19295df5a7f,statsEntry,true,true,2021-04-03 18:08:50,2021-04-03 18:08:50,41819,9,,0,umb://document/9bb8710d488b4908ad378c8babc6d75f,
41994,5d6f2d34-4719-4d58-90ce-64e4f6d0a317,umb://document/5d6f2d3447194d5890ce64e4f6d0a317,fca4f65cc3b345c59e21317e66e24ea4,statsEntry,true,true,2021-04-03 13:25:06,2021-04-03 13:25:06,41819,8,,0,umb://document/61aca55426c84b7fa2d0bcb7adb77cf4,
