id,key,udi,name,contentTypeAlias,published,hasPublishedVersion,createDate,updateDate,publishDate,releaseDate,removeDate,ownerName,ownerId,updaterName,updaterId,parentId,sortOrder,urls,purchasePrice,access,rentalPrice,code,metaDescription,metaTitle,type,videoDownloadURL,rawFile,videoStatus,hidden,videoThumbnailURL,videoID,openWebContentInNewWindows,trailer,openWebContentFromList,webContentURL,orderID,videoSize,productLink,expandedDescription,production,year,description,productionLink,thumbnail,title,badge,length,tags,hidePlay,hideDownload,siteMapOption,thumbnailCrops,thumbnailWide,thumbnailHigh
"39840","c58e9df9-66da-4486-84cc-26ae1b4ef823","umb://document/c58e9df966da448684cc26ae1b4ef823","Uffe Holm","media","true","true","2021-03-10 11:15:54","2023-01-02 10:53:50","2022-12-17 13:28:26","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","1","[""https://comedy-tv.dk/komikere/uffe-holm/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/uffe-holm/","0","","","","","0","Uffe Holm","","/media/3034/uffe.png","Uffe Holm","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3034/uffe.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3034/uffe.png?crop=High""}]","/media/3034/uffe.png?crop=Wide","/media/3034/uffe.png?crop=High"
"42457","91efd590-8ed9-422a-9a72-50faee49e1b1","umb://document/91efd5908ed9422a9a7250faee49e1b1","Carsten Bang","media","true","true","2021-04-09 07:42:56","2023-01-02 10:53:52","2023-01-02 10:53:52","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","5","[""https://comedy-tv.dk/komikere/carsten-bang/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/carsten-bang/","1","","","","","0","Carsten Bang","","/media/3127/carsten-bang.png","Carsten Bang","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3127/carsten-bang.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3127/carsten-bang.png?crop=High""}]","/media/3127/carsten-bang.png?crop=Wide","/media/3127/carsten-bang.png?crop=High"
"39811","6432e6e2-e061-42ed-afe0-71b5a130bac5","umb://document/6432e6e2e06142edafe071b5a130bac5","Mick Øgendahl","media","true","true","2021-03-10 07:26:27","2023-01-02 10:53:54","2023-01-02 10:53:54","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","0","[""https://comedy-tv.dk/komikere/mick-øgendahl/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/microphone-entertainment/","2","","","","","0","Alle shows","","/media/3033/oegendahl.png","Mick Øgendahl","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3033/oegendahl.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3033/oegendahl.png?crop=High""}]","/media/3033/oegendahl.png?crop=Wide","/media/3033/oegendahl.png?crop=High"
"42456","9ecee95f-b4ab-45be-972e-795e1e886e30","umb://document/9ecee95fb4ab45be972e795e1e886e30","Thomas Hartmann","media","true","true","2021-04-09 07:36:53","2023-01-02 10:53:57","2023-01-02 10:53:57","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","4","[""https://comedy-tv.dk/komikere/thomas-hartmann/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/thomas-hartmann","3","","","","","0","Thomas Hartmann","","/media/3126/hartmann.png","Thomas Hartmann","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3126/hartmann.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3126/hartmann.png?crop=High""}]","/media/3126/hartmann.png?crop=Wide","/media/3126/hartmann.png?crop=High"
"42458","ff28eae3-ab18-4be6-a3ff-2c6403953e4b","umb://document/ff28eae3ab184be6a3ff2c6403953e4b","Dan Andersen","media","true","true","2021-04-09 07:46:54","2023-01-02 10:53:59","2023-01-02 10:53:59","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","6","[""https://comedy-tv.dk/komikere/dan-andersen/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/dan-andersen/","4","","","","","0","Dan Andersen","","/media/3128/dan-andersen.png","Dan Andersen","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3128/dan-andersen.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3128/dan-andersen.png?crop=High""}]","/media/3128/dan-andersen.png?crop=Wide","/media/3128/dan-andersen.png?crop=High"
"39850","70e8989d-1505-4cd8-b9ae-b19039e5996c","umb://document/70e8989d15054cd8b9aeb19039e5996c","Nikloaj Lange","media","true","true","2021-03-10 12:37:20","2023-01-02 10:54:01","2023-01-02 10:54:01","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","2","[""https://comedy-tv.dk/komikere/nikloaj-lange/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/langes-entertainment-aps/standup-show/stoerre-end-nogensinde/","5","","","","","0","Nikloaj Lange","","/media/3038/lange.png","Nikloaj Lange","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3038/lange.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3038/lange.png?crop=High""}]","/media/3038/lange.png?crop=Wide","/media/3038/lange.png?crop=High"
"42759","69f970ef-9b11-4d16-b571-f34c1b9dbbb3","umb://document/69f970ef9b114d16b571f34c1b9dbbb3","Torben Chris","media","true","true","2021-04-13 07:45:29","2023-01-02 10:54:02","2023-01-02 10:54:02","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","9","[""https://comedy-tv.dk/komikere/torben-chris/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/torben-chris/","6","","","","","0","Torben Chris","","/media/3161/torben.png","Torben Chris","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3161/torben.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3161/torben.png?crop=High""}]","/media/3161/torben.png?crop=Wide","/media/3161/torben.png?crop=High"
"42459","0316d75f-2bab-47cc-a727-d1388807a917","umb://document/0316d75f2bab47cca727d1388807a917","Tobias Dybvad","media","true","true","2021-04-09 07:50:38","2023-01-02 10:54:04","2022-12-17 13:29:29","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","7","[""https://comedy-tv.dk/komikere/tobias-dybvad/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/tobias-dybvad/","7","","","","","0","Tobias Dybvad","","/media/3129/dybvad.png","Tobias Dybvad","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3129/dybvad.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3129/dybvad.png?crop=High""}]","/media/3129/dybvad.png?crop=Wide","/media/3129/dybvad.png?crop=High"
"39854","f3c6c929-cffa-4f5a-9130-feb3e452518a","umb://document/f3c6c929cffa4f5a9130feb3e452518a","Amin Jensen","media","true","true","2021-03-10 12:47:07","2023-01-02 10:54:07","2022-12-17 13:29:37","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","3","[""https://comedy-tv.dk/komikere/amin-jensen/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/amin-jensen-entertainment/","8","","","","","0","Amin Jensen","","/media/3039/amin.png","Amin Jensen","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3039/amin.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3039/amin.png?crop=High""}]","/media/3039/amin.png?crop=Wide","/media/3039/amin.png?crop=High"
"42765","43af9509-399e-4904-b89f-f74a07458076","umb://document/43af9509399e4904b89ff74a07458076","Anders Fjelsted","media","true","true","2021-04-13 08:19:52","2023-01-02 10:54:09","2023-01-02 10:54:09","","","Martin H. Schläger","0","Martin H. Schläger","0","39808","12","[""https://comedy-tv.dk/komikere/anders-fjelsted/""]","","[""58""]","","","","","[""264""]","","","","0","","","1","","1","https://www.kiibee.dk/anders-fjelsted/","9","","","","","0","Anders Fjelsted","","/media/3164/fjeldsted.png","Anders Fjelsted","","0","","0","0","","[{""alias"":""Wide"",""width"":1920,""height"":1080,""url"":""/media/3164/fjeldsted.png?crop=Wide""},{""alias"":""High"",""width"":650,""height"":920,""url"":""/media/3164/fjeldsted.png?crop=High""}]","/media/3164/fjeldsted.png?crop=Wide","/media/3164/fjeldsted.png?crop=High"
